paper,n_chars,metric_MAPE,metric_RMSE,metric_MAE,metric_R2,metric_MASE,metric_sMAPE,metric_AUC,metric_accuracy,metric_F1,metric_precision,metric_recall,metric_specificity,metric_MSE,metric_AIC_BIC,model_ARIMA,model_SARIMA,model_Prophet,model_LSTM,model_CNN,model_GRU,model_RNN,model_ANN_MLP,model_XGBoost,model_GBM,model_RF,model_SVM,model_ELM,model_GLM,model_LinReg,model_Lasso,model_NaiveBayes,model_LogReg,model_DT,model_KNN,model_Ensemble,model_Hybrid,model_Transformer,model_Naive,has_results_table,has_heatmap,has_actual_vs_pred,has_scatter_plot,has_residual_plot,has_ACF_PACF,has_arch_diagram,has_PRISMA,has_flowchart,has_variable_importance,has_confusion_matrix,has_box_plot,has_time_series_plot,test_Diebold_Mariano,test_Granger,test_Pearson,test_Spearman,test_Cointegration,test_ADF,test_LjungBox,test_Wilcoxon,test_t_test,test_KS,uses_cross_val,uses_rolling_origin,uses_train_test_split,uses_train_val_test,horizon_daily,horizon_weekly,horizon_monthly,horizon_hourly,horizon_multi,sec_discussion,sec_limitations,sec_future_work,sec_conclusion,sec_clinical_impl,sec_comparison_prior
applsci-12-09890.pdf,63285,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0
Arief Ibrahim_MA_EEMCS.pdf,227762,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0
CAAI Trans on Intel Tech - 2023 - Susnjak - Forecasting patient demand at urgent care clinics using explainable machine.pdf,87597,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Combining machine learning and optimization for the operational.pdf,92571,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
Combining simulation and machine learning.pdf,26893,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
communication of the visa .pdf,7972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Comparison of linear, penalized linear and machine learning models.pdf",37415,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0
Data collection letter_Jonathan Lukwichi_updated.pdf,4248,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decision analysis framework for predicting.pdf,80519,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Decision_analysis_framework_for_predicting_no-show.pdf,85917,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
