lookback,units,dropout,learning_rate,batch_size,seed,cv_RMSE,cv_MAPE,cv_MAE
14,64,0.273235229154987,0.0010502105436744284,32,42,8.063364364409527,11.065534580855708,6.738855416434151
21,64,0.16084844859190756,0.0007790143126276247,32,42,7.631540848390704,10.313120746972142,6.232380676269531
21,192,0.2570351922786027,0.00021839352923182988,32,42,6.915070151031661,9.002217458680942,5.584539249965123
14,192,0.29312640661491185,0.0023628864184236428,32,42,8.71342653059499,13.281647609848985,7.802255249023437
21,128,0.2818640804157564,0.00027520696850790545,32,42,7.639679060077208,10.401705810644646,6.386651938302176
7,128,0.2878997883128378,0.00331348361550895,32,42,9.616111807180328,13.472878199231099,8.003731972830636
14,192,0.1542698063547792,0.0025585868855934266,32,42,8.170885202972723,11.70618048370179,6.888585989815849
21,192,0.2544489538593315,0.00021757649801197563,32,42,7.004507490946611,9.099235298880563,5.614221300397601
14,96,0.12317381190502595,0.002926758115062129,32,42,9.964790058926344,13.81774146937759,8.267503138950893
7,128,0.2774425485152653,0.0006342770438858341,32,42,7.11941082609288,9.715320890765453,5.777832140241351
