n_estimators,max_depth,learning_rate,subsample,cv_RMSE,cv_MAPE,cv_MAE
100,7,0.0444914614461489,0.9575793759734148,8.406321658331409,9.924012838494335,6.161111341203963
100,7,0.013775626597709352,0.9926867054910268,8.268034011877948,10.51169885551929,6.5210237775530135
300,7,0.1449146502165535,0.7384340898026637,9.132426199872473,11.577987726424139,7.230452292306083
500,5,0.03529503710536946,0.9780294966545806,8.422705895792626,10.30374359325043,6.357243783133372
500,6,0.16417940088574817,0.8330242596481994,8.673190655138255,11.685085174255295,7.192068808419364
200,4,0.06594607868596668,0.7191451768312526,8.570700178300427,11.046861709102803,6.759414454868862
500,7,0.08571264749134513,0.9274263220256121,8.436526991738162,10.751619434251875,6.712820434570313
300,5,0.2715430450064821,0.9679363363966593,8.212084419823515,10.357885083783192,6.4158344813755575
300,7,0.01938674832256957,0.8400163011181102,8.050510594891117,9.759496476240997,6.068057577950614
200,3,0.01690068425265491,0.9049146859727364,7.060604998651546,9.116399420574599,5.6170310974121085
