date,actual,predicted,abs_error,pct_error
2024-07-01,79.0,64.47058868408203,14.529411315917969,18.39165989356705
2024-07-02,72.0,62.36644744873047,9.633552551269531,13.37993409898546
2024-07-03,62.0,59.80313491821289,2.1968650817871094,3.5433307770759828
2024-07-04,42.0,59.42266845703125,17.42266845703125,41.4825439453125
2024-07-05,59.0,59.22843933105469,0.2284393310546875,0.3871853068723517
2024-07-06,55.0,56.94162368774414,1.9416236877441406,3.5302248868075288
2024-07-07,42.0,56.525543212890625,14.525543212890625,34.58462669735864
2024-07-08,59.0,63.500946044921875,4.500946044921875,7.628722110037077
2024-07-09,62.0,61.897369384765625,0.102630615234375,0.1655332503780242
2024-07-10,51.0,61.25112533569336,10.25112533569336,20.10024575626149
2024-07-11,71.0,61.96022033691406,9.039779663085938,12.732084032515406
2024-07-12,58.0,63.96459197998047,5.964591979980469,10.283779275828394
2024-07-13,67.0,60.01789855957031,6.9821014404296875,10.421046926014458
2024-07-14,53.0,61.021636962890625,8.021636962890625,15.135164080925708
2024-07-15,69.0,67.13604736328125,1.86395263671875,2.7013806329257246
2024-07-16,48.0,60.869625091552734,12.869625091552734,26.811718940734863
2024-07-17,59.0,55.871673583984375,3.128326416015625,5.302248162738348
2024-07-18,67.0,55.70915985107422,11.290840148925781,16.852000222277287
2024-07-19,71.0,54.81724166870117,16.182758331298828,22.79261736802652
2024-07-20,65.0,50.51003646850586,14.48996353149414,22.292251586914062
2024-07-21,60.0,50.614688873291016,9.385311126708984,15.642185211181642
2024-07-22,68.0,66.8243637084961,1.1756362915039062,1.7288768992704504
2024-07-23,69.0,62.07496643066406,6.9250335693359375,10.036280535269475
2024-07-24,50.0,59.80251693725586,9.80251693725586,19.60503387451172
2024-07-25,49.0,60.292415618896484,11.292415618896484,23.045746161013234
2024-07-26,55.0,59.81272506713867,4.812725067138672,8.750409212979402
2024-07-27,57.0,57.604209899902344,0.6042098999023438,1.060017368249726
2024-07-28,62.0,58.11043167114258,3.889568328857422,6.273497304608745
2024-07-29,61.0,68.7978744506836,7.797874450683594,12.783400738825563
