date,actual,predicted,abs_error,pct_error
2024-07-01,79.0,57.269554741949534,21.730445258050466,27.50689273170945
2024-07-02,72.0,58.02806095263719,13.97193904736281,19.405470899115013
2024-07-03,62.0,58.02964959285555,3.9703504071444513,6.403790979265243
2024-07-04,42.0,58.03123823307391,16.031238233073907,38.16961484065216
2024-07-05,59.0,58.032826873292265,0.9671731267077348,1.639276485945313
2024-07-06,55.0,58.03441551351062,3.0344155135106234,5.517119115473861
2024-07-07,42.0,58.03600415372898,16.03600415372898,38.18096227078329
2024-07-08,59.0,55.57211970149881,3.4278802985011865,5.809966607629129
2024-07-09,62.0,57.19831600388874,4.801683996111258,7.744651606631062
2024-07-10,51.0,57.1994360983869,6.199436098386897,12.155757055660583
2024-07-11,71.0,57.20055619288505,13.799443807114947,19.43583634804922
2024-07-12,58.0,57.20167628738321,0.7983237126167921,1.376420194166883
2024-07-13,67.0,57.20279638188136,9.797203618118637,14.62269196734125
2024-07-14,53.0,57.20391647637952,4.2039164763795185,7.931917879961356
2024-07-15,69.0,57.97802155466211,11.021978445337894,15.973881804837529
2024-07-16,48.0,58.69067620346569,10.690676203465692,22.272242090553526
2024-07-17,59.0,58.69261321101938,0.3073867889806223,0.5209945575942752
2024-07-18,67.0,58.69455021857306,8.305449781426937,12.396193703622293
2024-07-19,71.0,58.69648722612675,12.303512773873251,17.328891230807397
2024-07-20,65.0,58.698424233680434,6.301575766319566,9.694731948183948
2024-07-21,60.0,58.70036124123412,1.2996387587658802,2.1660645979431337
2024-07-22,68.0,60.775799338710904,7.224200661289096,10.62382450189573
2024-07-23,69.0,60.91098657954377,8.089013420456233,11.723207855733671
2024-07-24,50.0,60.91412854611344,10.914128546113439,21.828257092226877
2024-07-25,49.0,60.91727051268311,11.91727051268311,24.320960229965532
2024-07-26,55.0,60.92041247925278,5.920412479252782,10.764386325914149
2024-07-27,57.0,60.923554445822454,3.923554445822454,6.883428852320095
2024-07-28,62.0,60.926696412392126,1.0733035876078745,1.7311348187223783
2024-07-29,61.0,59.841532958020416,1.1584670419795842,1.8991262983271873
2024-07-30,62.0,59.55433805784387,2.4456619421561285,3.9446160357356908
2024-07-31,47.0,59.55672754740293,12.556727547402929,26.716441590219
2024-08-01,50.0,59.559117036961986,9.559117036961986,19.118234073923972
2024-08-02,53.0,59.56150652652104,6.561506526521043,12.380200993435931
2024-08-03,70.0,59.5638960160801,10.4361039839199,14.90871997702843
2024-08-04,54.0,59.56628550563916,5.566285505639158,10.307936121553995
2024-08-05,95.0,57.49286882921909,37.50713117078091,39.481190706085165
2024-08-06,61.0,58.07780657022976,2.922193429770239,4.790481032410228
2024-08-07,59.0,58.07938260480995,0.9206173951900496,1.5603684664238129
2024-08-08,60.0,58.08095863939014,1.9190413606098602,3.1984022676831003
2024-08-09,60.0,58.08253467397033,1.9174653260296708,3.195775543382785
2024-08-10,61.0,58.08411070855052,2.9158892914494814,4.780146379425379
