period,actual,predicted,abs_error,pct_error
2024-07-07,411.0,413.1097412109375,2.1097412109375,0.5133190294251825
2024-07-14,421.0,410.5326499938965,10.467350006103516,2.486306414751429
2024-07-21,439.0,415.1149597167969,23.885040283203125,5.440783663599801
2024-07-28,410.0,415.48839950561523,5.488399505615234,1.3386340257598133
2024-08-04,397.0,410.6927032470703,13.692703247070312,3.4490436390605317
2024-08-11,452.0,418.84484100341797,33.15515899658203,7.3352121673854045
2024-08-18,408.0,420.6796646118164,12.679664611816406,3.107760934268727
2024-08-25,420.0,421.85932540893555,1.8593254089355469,0.44269652593703496
2024-09-01,394.0,416.8053512573242,22.80535125732422,5.78816021759498
2024-09-08,445.0,423.83585357666016,21.164146423339844,4.755987960301089
2024-09-15,477.0,437.1813850402832,39.8186149597168,8.347718020904988
2024-09-22,410.0,441.1218032836914,31.121803283691406,7.590683727729611
2024-09-29,433.0,410.9508399963379,22.04916000366211,5.092184758351526
2024-10-06,410.0,432.70943450927734,22.709434509277344,5.5388864656774
2024-10-13,423.0,436.6485137939453,13.648513793945312,3.2265990056608302
2024-10-20,415.0,417.66552352905273,2.6655235290527344,0.6422948262777674
2024-10-27,463.0,424.9823760986328,38.01762390136719,8.211149870705656
2024-11-03,444.0,449.5087089538574,5.508708953857422,1.2407002148327526
2024-11-10,422.0,431.04050064086914,9.04050064086914,2.1422987300637772
2024-11-17,436.0,432.0348320007324,3.965167999267578,0.9094422016668758
2024-11-24,445.0,436.2256851196289,8.774314880371094,1.9717561528923806
2024-12-01,437.0,437.03009033203125,0.03009033203125,0.006885659503718535
2024-12-08,418.0,441.17477798461914,23.17477798461914,5.544205259478263
2024-12-15,455.0,440.5630912780762,14.436908721923828,3.172946971851391
2024-12-22,396.0,417.5444793701172,21.544479370117188,5.440525093463936
2024-12-29,338.0,370.0762367248535,32.076236724853516,9.490010865341276
2025-01-05,122.0,131.13848876953125,9.13848876953125,7.4905645651895485
AVG,412.6296296296296,413.1318613688151,16.482489974410445,4.1006206284324325
