n_estimators,max_depth,learning_rate,subsample,cv_RMSE,cv_MAPE,cv_MAE
100,3,0.01,0.85,7.574169464298836,10.356362107771735,6.307221548897879
100,3,0.1,0.85,7.621143105464495,9.620308783397892,5.9319668361118865
100,5,0.01,0.85,7.4865000569499145,10.037874639287057,6.142459433419363
300,3,0.01,0.85,7.168994947679236,9.405698414176626,5.765714045933315
300,3,0.1,0.85,8.463516590649776,10.608070612619551,6.517637525285994
300,5,0.01,0.85,7.333593092872495,9.306942744688644,5.743985094342913
300,5,0.1,0.85,8.071202126335386,10.458286133981968,6.4947256905691955
500,3,0.1,0.85,8.847151702548436,11.170152090302148,6.828134155273437
500,5,0.01,0.85,7.407007631794258,9.202390337345358,5.685329873221262
500,5,0.1,0.85,8.067990825158706,10.487900326920487,6.509312983921596
