lookback,units,dropout,learning_rate,batch_size,seed,cv_RMSE,cv_MAPE,cv_MAE
7,192,0.18777568795041044,0.0028756240803305263,32,42,8.635768124650367,12.239588481896167,7.255371747698102
7,128,0.11883546957752991,0.004545201182466366,32,42,9.319036878639396,13.537082350690108,8.027319989885603
21,192,0.25721286105539076,0.0001650673651678038,32,42,7.350991325608089,9.825714849397569,6.0194062369210375
21,96,0.17415960484651624,0.003754446474161732,32,42,8.309628116181845,12.084192631835323,7.1145436968122215
21,128,0.26455232265416595,0.000566692445689169,32,42,7.0105853276814,9.34948078811583,5.703767286028181
14,64,0.21091695740316696,0.000128358195754904,32,42,8.0607710090177,11.1384408224097,6.819560132707869
21,192,0.22633287982441297,0.0019407443525214303,32,42,9.453000171407153,13.739454924971412,8.168745858328682
21,96,0.2941396048789806,0.0032914403991318986,32,42,8.040871160142284,11.711090653217207,6.788496507917131
21,192,0.1389277415703935,0.0006207903905967945,32,42,9.503386810134879,13.233989349127564,7.914414106096541
14,64,0.13085789841350956,0.0014470371569405584,32,42,7.97374009015858,11.006334387476025,6.626755959647042
