period,actual,predicted,abs_error,pct_error
2024-07-07,411.0,405.46175006104806,5.538249938951935,1.3475060678715172
2024-07-14,421.0,398.7788171423036,22.22118285769642,5.2781907025407175
2024-07-21,439.0,410.15113388876154,28.848866111238465,6.571495697320835
2024-07-28,410.0,426.2888483145186,16.28884831451859,3.972889832809412
2024-08-04,397.0,417.2034036484695,20.203403648469475,5.0890185512517565
2024-08-11,452.0,405.9833487693005,46.016651230699495,10.180675051039712
2024-08-18,408.0,423.6244848306216,15.624484830621611,3.829530595740591
2024-08-25,420.0,408.53760882303055,11.462391176969447,2.729140756421297
2024-09-01,394.0,411.57055753558814,17.570557535588136,4.459532369438613
2024-09-08,445.0,398.61896196797613,46.381038032023866,10.4227051757357
2024-09-15,477.0,419.9906125154618,57.009387484538195,11.95165356069983
2024-09-22,410.0,447.6568379317959,37.656837931795906,9.184594617511197
2024-09-29,433.0,418.97921574573144,14.020784254268563,3.2380564097617928
2024-10-06,410.0,433.4363723880459,23.436372388045925,5.716188387328274
2024-10-13,423.0,416.66092828894443,6.339071711055567,1.498598513251907
2024-10-20,415.0,420.92010603843914,5.920106038439144,1.4265315755275045
2024-10-27,463.0,419.79636434967136,43.203635650328636,9.331238801366876
2024-11-03,444.0,444.43181965187557,0.43181965187557125,0.09725667835035388
2024-11-10,422.0,442.531170009001,20.531170009001016,4.865206163270383
2024-11-17,436.0,425.94778595825153,10.05221404174847,2.305553679300108
2024-11-24,445.0,422.3711442136928,22.628855786307213,5.08513613175443
2024-12-01,437.0,430.80689705127764,6.1931029487223554,1.4171860294559167
2024-12-08,418.0,430.70510676217623,12.705106762176229,3.039499225401012
2024-12-15,455.0,423.59881396813483,31.401186031865166,6.901359567442894
2024-12-22,396.0,434.0011690226056,38.00116902260561,9.596254803688286
2024-12-29,338.0,413.01774873810194,75.01774873810194,22.194600218373356
2025-01-05,122.0,107.20386938508422,14.796130614915782,12.127975913865395
AVG,412.6296296296296,409.5657361851819,24.055569360835882,6.068799076908135
