hidden_layers,units,dropout,learning_rate,batch_size,seed,cv_RMSE,cv_MAPE,cv_MAE
2,64,0.11742508365045984,0.005399484409787433,32,42,8.395317786817936,11.19925726137628,7.003655024937221
2,128,0.1545474901621302,0.00023270677083837802,32,42,7.535676030460195,9.69124978131273,6.0695878165108805
2,192,0.18764339456056545,0.0005404103854647331,32,42,7.889242467524797,9.79269028981727,6.166766466413226
2,192,0.28226345557043153,0.00021930485556643703,32,42,6.999110725263871,9.155322293956633,5.647785186767578
2,64,0.3052699079536471,0.0007591104805282694,32,42,7.034078712209693,9.135541609006145,5.6490548270089285
2,128,0.19351332282682332,0.001096821720752952,32,42,8.23557059336914,10.129199918611071,6.312167467389788
1,64,0.2793699936433256,0.0069782812651260325,32,42,8.070323363536419,10.39909885440321,6.54308853149414
2,192,0.34862125274557887,0.0005170191786366995,32,42,7.4294068865843155,9.8715240937836,6.161366162981306
2,256,0.33167343078899725,0.00024970737145052745,32,42,7.282419089851709,9.487534264616958,5.911245618547712
2,192,0.2075397185632818,0.0001705053926026929,32,42,6.988213930478717,9.22388250203729,5.698503439767021
