n_estimators,max_depth,learning_rate,subsample,cv_RMSE,cv_MAPE,cv_MAE
200,3,0.01699897838270077,0.7174250836504598,7.1981005995534675,9.511543158779528,5.851488276890346
100,8,0.16967533607196555,0.7637017332034828,8.647388022065309,10.83333311846034,6.732532719203405
500,5,0.02692655251486473,0.8835558684167139,8.070393404620521,10.009262987421788,6.163684517996652
500,7,0.019721610970574007,0.8542703315240835,8.164572489787485,10.160642873209536,6.278199223109654
300,3,0.2521267904777921,0.9896896099223678,8.50520954304895,11.345204443547987,7.00472673688616
100,5,0.015144860262751412,0.848553073033381,7.582884109866326,10.040119900548984,6.194708905901227
200,4,0.05864129169696527,0.8640130838029838,8.024975332201794,10.103695161387517,6.174723161969866
200,8,0.0764136186923332,0.976562270506935,8.936130490466487,11.2237130395009,6.9243967328752785
500,5,0.02516607127550297,0.9486212527455788,8.150540298166069,9.96785371975457,6.143812125069755
300,7,0.012886065671894011,0.9960660809801551,8.52436594975332,10.169724016244256,6.405083247593471
