hidden_layers,units,dropout,learning_rate,batch_size,seed,cv_RMSE,cv_MAPE,cv_MAE
1,256,0.23166353192561573,0.005214297905300547,32,42,8.250884324525723,10.531440934376795,6.66471415928432
1,192,0.12825320436629487,0.008938089586343602,32,42,11.021470173417912,14.248358714620764,8.749701472691127
2,256,0.3358192915830862,0.0001803961503006787,32,42,7.26396174393246,9.440260960108239,5.867842647007533
2,128,0.2112394072697744,0.007137234690401974,32,42,8.494732713186055,10.936011688121976,6.787731170654299
2,192,0.34682848398124905,0.0007705989229173013,32,42,7.665617085791403,9.693019186707753,6.0508056640625
1,64,0.26637543610475045,0.0001341635410168891,32,42,7.26488382647405,9.837646745186984,6.02713143484933
2,256,0.28949931973661946,0.0032822788943585807,32,42,8.753685085079475,11.191636970563286,6.927935246058874
2,128,0.391209407318471,0.006112828938332493,32,42,7.85902445790685,9.881492708242707,6.256613813127791
2,256,0.1583916123555903,0.0008579105479001719,32,42,8.474731282070403,10.707375581147993,6.645061928885323
1,64,0.14628684762026437,0.0023232604885522565,32,42,7.432561449780392,9.576846465776018,6.080294363839285
