model,config,n_features,cv_RMSE,cv_MAPE,val_MAPE,val_MAE,val_RMSE,val_R2,weekly_avg_pct,monthly_avg_pct,yearly_avg_pct
sarimax,A_raw_only,15,8.16833136561622,12.110832318604054,12.509874067195101,7.1469913605524615,9.133301059783015,0.15113724577503507,5.891235896162788,2.561492151603611,1.8655520519605955
sarimax,B_engineered,99,8.16833136561622,12.110832318604054,12.509874067195101,7.1469913605524615,9.133301059783015,0.15113724577503507,5.891235896162788,2.561492151603611,1.8655520519605955
sarimax,C_selection,1,8.16833136561622,12.110832318604054,12.509874067195101,7.1469913605524615,9.133301059783015,0.15113724577503507,5.891235896162788,2.561492151603611,1.8655520519605955
sarimax,D_both,23,8.16833136561622,12.110832318604054,12.509874067195101,7.1469913605524615,9.133301059783015,0.15113724577503507,5.891235896162788,2.561492151603611,1.8655520519605955
xgboost,A_raw_only,15,8.595593156602842,12.74678216927209,13.609648614809593,8.566243316816246,10.8573413435568,-0.1995791676200236,9.554471645432988,9.154906603486369,9.166262100804548
xgboost,C_selection,1,8.7912636730535,13.265411796675455,14.216183338481994,8.992739781089451,11.483410206261794,-0.3419109261220181,10.313797193742092,9.893192303735246,9.929407474307931
xgboost,D_both,23,8.340215877784848,11.902386920261614,11.984789979462127,7.092284202575684,9.39387648993636,0.10200974646434147,4.145898694885805,2.2923914723822283,1.666747414116671
