fold,origin,MAPE,MAE,RMSE,R2
0,2023-03-05,10.375714564745227,7.367728642054966,9.301955872561251,-0.30857801533912377
8,2023-04-30,9.432922023333068,6.282234736851284,7.554755268996521,-0.09500471086417539
15,2023-06-18,22.833413065545315,10.684043884277344,11.498033706249544,-0.23438151226990867
23,2023-08-13,11.555331792091938,6.99162346976144,9.461369194136196,0.08655605073725081
30,2023-10-01,5.342067697328212,3.3885863167898997,5.503078004937525,-3.469606954496782
38,2023-11-26,12.915290113536457,6.280740465436663,8.960608425315911,-1.3873377816992
45,2024-01-14,24.71179412552254,10.390071868896484,13.925471723515619,-1.1219337591333676
53,2024-03-10,8.022705939574749,4.844422476632254,5.563274958465916,0.1223660966949055
60,2024-04-28,10.771713258675206,6.178770337785993,6.662170082670856,-1.5952756566960562
68,2024-06-23,11.506869112368172,6.798851558140346,7.525214329179081,0.03518300267592955
AVG,,12.74678216927209,6.920707375662667,8.595593156602842,-0.7968013240390527
