date,actual,predicted,abs_error,pct_error
2024-07-01,79.0,61.410369873046875,17.589630126953125,22.265354591079905
2024-07-02,72.0,61.359344482421875,10.640655517578125,14.778688218858507
2024-07-03,62.0,60.71529769897461,1.2847023010253906,2.0721004855248233
2024-07-04,42.0,57.41329574584961,15.41329574584961,36.698323204403835
2024-07-05,59.0,56.77731704711914,2.2226829528808594,3.767259242170948
2024-07-06,55.0,53.90560531616211,1.0943946838378906,1.989808516068892
2024-07-07,42.0,54.29701614379883,12.297016143798828,29.278609866187686
2024-07-08,59.0,60.927825927734375,1.927825927734375,3.267501572431144
2024-07-09,62.0,59.56892395019531,2.4310760498046875,3.921090402910786
2024-07-10,51.0,58.69878005981445,7.698780059814453,15.095647176106771
2024-07-11,71.0,57.64757537841797,13.352424621582031,18.806231861383143
2024-07-12,58.0,58.83699417114258,0.8369941711425781,1.4430933985216865
2024-07-13,67.0,55.46622848510742,11.533771514892578,17.214584350585938
2024-07-14,53.0,55.00727462768555,2.007274627685547,3.787310618274617
2024-07-15,69.0,62.73878860473633,6.261211395263672,9.074219413425611
2024-07-16,48.0,60.59617614746094,12.596176147460938,26.24203364054362
2024-07-17,59.0,58.74748992919922,0.25251007080078125,0.42798317084878174
2024-07-18,67.0,57.82027053833008,9.179729461669922,13.701088748761078
2024-07-19,71.0,58.00233840942383,12.997661590576172,18.30656562052982
2024-07-20,65.0,56.61532974243164,8.38467025756836,12.89949270395132
2024-07-21,60.0,55.275699615478516,4.724300384521484,7.873833974202474
2024-07-22,68.0,62.97138595581055,5.028614044189453,7.395020653219785
2024-07-23,69.0,59.22661209106445,9.773387908935547,14.164330302805139
2024-07-24,50.0,60.719791412353516,10.719791412353516,21.43958282470703
2024-07-25,49.0,58.89949035644531,9.899490356445312,20.20304154376594
2024-07-26,55.0,57.747127532958984,2.7471275329589844,4.994777332652698
2024-07-27,57.0,55.379215240478516,1.6207847595214844,2.8434820342482183
2024-07-28,62.0,54.97964859008789,7.020351409912109,11.323147435342113
2024-07-29,61.0,62.869361877441406,1.8693618774414062,3.0645276679367317
2024-07-30,62.0,60.566490173339844,1.4335098266601562,2.3121126236454135
2024-07-31,47.0,58.715126037597656,11.715126037597656,24.925800079995014
2024-08-01,50.0,56.079063415527344,6.079063415527344,12.158126831054688
2024-08-02,53.0,57.21916580200195,4.219165802001953,7.960690192456515
2024-08-03,70.0,54.3869514465332,15.613048553466797,22.30435507638114
2024-08-04,54.0,55.264835357666016,1.2648353576660156,2.3422876993815107
2024-08-05,95.0,60.825199127197266,34.174800872802734,35.97347460295025
2024-08-06,61.0,66.9086685180664,5.908668518066406,9.686341832895748
2024-08-07,59.0,59.606563568115234,0.6065635681152344,1.028073844263109
2024-08-08,60.0,60.29951858520508,0.2995185852050781,0.4991976420084635
2024-08-09,60.0,58.80751419067383,1.1924858093261719,1.9874763488769531
2024-08-10,61.0,57.04902648925781,3.9509735107421875,6.477005755315061
2024-08-11,56.0,55.495174407958984,0.5048255920410156,0.9014742715018136
2024-08-12,69.0,62.928924560546875,6.071075439453125,8.798660057178441
2024-08-13,59.0,59.44049835205078,0.44049835205078125,0.7466073763572564
2024-08-14,62.0,59.582740783691406,2.4172592163085938,3.8988051875945064
2024-08-15,66.0,58.75048065185547,7.249519348144531,10.98412022446141
2024-08-16,61.0,59.011348724365234,1.9886512756347656,3.2600840584176485
2024-08-17,47.0,56.752769470214844,9.752769470214844,20.750573340882646
2024-08-18,44.0,55.20261764526367,11.202617645263672,25.460494648326527
2024-08-19,74.0,63.39625930786133,10.603740692138672,14.329379313700908
2024-08-20,64.0,62.9564323425293,1.0435676574707031,1.6305744647979736
2024-08-21,63.0,59.31839370727539,3.6816062927246094,5.843819512261285
2024-08-22,59.0,58.513790130615234,0.4862098693847656,0.8240845243809587
2024-08-23,58.0,57.59560012817383,0.4043998718261719,0.697241158320986
2024-08-24,43.0,55.94963455200195,12.949634552001953,30.115429190702216
2024-08-25,59.0,54.2662467956543,4.733753204345703,8.023310515840175
2024-08-26,72.0,64.0062026977539,7.993797302246094,11.102496253119574
2024-08-27,48.0,63.25447463989258,15.254474639892578,31.780155499776203
2024-08-28,64.0,58.203243255615234,5.796756744384766,9.057432413101196
2024-08-29,63.0,57.512271881103516,5.487728118896484,8.710679553803944
2024-08-30,53.0,57.0303955078125,4.0303955078125,7.6045198260613205
2024-08-31,39.0,55.31448745727539,16.31448745727539,41.83201912121895
2024-09-01,55.0,53.927452087402344,1.0725479125976562,1.9500871138139204
2024-09-02,70.0,63.20042419433594,6.7995758056640625,9.71367972237723
2024-09-03,66.0,60.56886672973633,5.431133270263672,8.228989803429807
2024-09-04,72.0,60.47708511352539,11.52291488647461,16.00404845343696
2024-09-05,61.0,60.59831237792969,0.4016876220703125,0.6585042984759222
2024-09-06,60.0,58.87334060668945,1.1266593933105469,1.8777656555175781
2024-09-07,53.0,56.3583869934082,3.358386993408203,6.336579232845667
2024-09-08,63.0,55.35430908203125,7.64569091796875,12.136017330109127
2024-09-09,72.0,63.674686431884766,8.325313568115234,11.56293551127116
2024-09-10,66.0,61.77649688720703,4.223503112792969,6.399247140595407
2024-09-11,76.0,59.71274948120117,16.287250518798828,21.430592787893197
