period,actual,predicted,abs_error,pct_error
2024-07-31,1851.0,1598.5693702697754,252.4306297302246,13.637527267975397
2024-08-31,1846.0,1677.6547508239746,168.3452491760254,9.119460952114052
2024-09-30,1885.0,1670.8886947631836,214.1113052368164,11.358689932987607
2024-10-31,1901.0,1764.080623626709,136.91937637329102,7.202492181656551
2024-11-30,1870.0,1732.3222694396973,137.67773056030273,7.362445484508168
2024-12-31,1788.0,1676.2710304260254,111.72896957397461,6.248823801676432
AVG,1856.8333333333333,1686.6311232248943,170.20221010843912,9.154906603486369
