period,actual,predicted,abs_error,pct_error
2024-07-07,411.0,382.0403861999512,28.959613800048828,7.046134744537428
2024-07-14,421.0,382.1853828430176,38.81461715698242,9.2196240277868
2024-07-21,439.0,382.30541229248047,56.69458770751953,12.914484671416751
2024-07-28,410.0,382.525577545166,27.474422454833984,6.701078647520483
2024-08-04,397.0,382.63209533691406,14.367904663085938,3.6191195624901606
2024-08-11,452.0,362.8245849609375,89.1754150390625,19.729074123686395
2024-08-18,408.0,382.9272689819336,25.072731018066406,6.145277210310394
2024-08-25,420.0,383.0268440246582,36.9731559753418,8.80313237508138
2024-09-01,394.0,383.18431091308594,10.815689086914062,2.745098753023874
2024-09-08,445.0,383.2112808227539,61.788719177246094,13.88510543308901
2024-09-15,477.0,383.4695510864258,93.53044891357422,19.608060568883484
2024-09-22,410.0,383.8275566101074,26.172443389892578,6.38352277802258
2024-09-29,433.0,377.3919372558594,55.608062744140625,12.842508716891599
2024-10-06,410.0,384.1161346435547,25.883865356445312,6.31313789181593
2024-10-13,423.0,384.1911430358887,38.80885696411133,9.174670677094877
2024-10-20,415.0,384.3482894897461,30.651710510253906,7.385954339820218
2024-10-27,463.0,384.4710159301758,78.52898406982422,16.960903686787088
2024-11-03,444.0,384.75500106811523,59.244998931884766,13.343468227901974
2024-11-10,422.0,384.9840316772461,37.015968322753906,8.771556474586234
2024-11-17,436.0,385.1171188354492,50.88288116455078,11.670385588199721
2024-11-24,445.0,385.30809783935547,59.69190216064453,13.413910597897646
2024-12-01,437.0,385.51456451416016,51.485435485839844,11.78156418440271
2024-12-08,418.0,385.6749153137207,32.3250846862793,7.733273848392177
2024-12-15,455.0,372.2773895263672,82.72261047363281,18.18079351068853
2024-12-22,396.0,379.3520736694336,16.647926330566406,4.204021800648083
2024-12-29,338.0,372.8115577697754,34.81155776977539,10.29927744667911
2025-01-05,122.0,110.29119110107422,11.708808898925781,9.597384343381787
AVG,412.6296296296296,371.65795234397604,43.550311194525825,10.313797193742092
