fold,origin,MAPE,MAE,RMSE,R2
0,2023-03-05,9.848120843282596,7.351189749581473,10.467825057478922,-0.6571582439090116
8,2023-04-30,12.200898065132106,8.179700578962054,10.19456328278027,-0.9939416232591896
15,2023-06-18,19.69174348963497,9.386502947126116,11.04419714386413,-0.13886056346690023
23,2023-08-13,12.05011752667041,7.271686553955078,10.81700415304613,-0.1939548861940532
30,2023-10-01,5.736904684052248,3.608893803187779,4.34675056404667,-1.7886077796263917
38,2023-11-26,10.623067962885184,5.234589712960379,7.143133122766602,-0.5171075180028528
45,2024-01-14,18.78458904813356,8.03576169695173,10.444837211873296,-0.19375538069319398
53,2024-03-10,9.1457316497031,5.525971003941128,6.130230279628358,-0.06562872730459857
60,2024-04-28,10.159109528082602,5.948371342250279,6.305229180087488,-1.324629875486766
68,2024-06-23,10.783586405039358,6.128006526402065,6.5083887822766044,0.2783042063553778
AVG,,11.902386920261614,6.667067391531807,8.340215877784848,-0.559534039158758
