model,defaults_cv_RMSE,defaults_cv_MAPE,defaults_val_MAPE,defaults_val_RMSE,defaults_val_R2,defaults_yearly_pct,hpo_algo,hpo_cv_RMSE,hpo_cv_MAPE,hpo_val_MAPE,hpo_val_RMSE,hpo_val_R2,delta_MAPE_pp,delta_RMSE
sarimax,8.382243082853858,12.339297567341491,12.58237461064556,9.221949077702227,0.1345791165245787,1.467054167896875,auto_arima,7.218410835995897,10.063712613376088,12.340766198821026,8.983988201967,0.1786650998609523,-0.24160841182453474,-0.23796087573522762
sarimax_xgb,10.667905307533966,15.337502034695412,12.753155306765253,9.492459766892896,0.0830630760989153,0.3806398509196913,optuna,7.475280395503954,10.00858311030231,12.044695243860913,8.877874987488001,0.1979526985306753,-0.70846006290434,-0.6145847794048951
xgboost,9.893108444490954,13.662773251673732,13.044296641002145,9.872904765196402,0.0080910087338841,0.6813053082824877,optuna,7.198100599553468,9.511543158779528,11.955901430176745,9.389531729893276,0.1028402129759544,-1.0883952108254,-0.48337303530312603
ann,9.935946893365498,13.537166041581536,13.45173248537862,10.004082051516118,-0.0184422824689025,1.4701465592650984,grid,7.4079295424597955,9.663638688475151,12.322085003632102,9.244449920546684,0.1303508443730878,-1.1296474817465185,-0.7596321309694343
arima,8.926786367956883,12.438533643096898,13.324229352251937,10.195461784629751,-0.0577809311968646,0.762049516729717,auto_arima,7.791239108067321,10.03468901341785,13.32630290891714,10.197697148567894,-0.0582448208391652,0.002073556665203924,0.0022353639381424983
lstm_xgb,7.555693992663068,10.480827321701886,15.505253279330224,11.381101076127305,-0.3181064709167616,1.1243814198400055,rmse_tuned_proxy,,,31.26779828870591,19.131651392569147,-2.72466183509382,15.762545009375687,7.750550316441842
lstm,7.545061905385983,10.124795012020217,15.590559481817778,11.39524679810835,-0.3213850913184792,1.1424015758388744,optuna,6.915070151031661,9.002217458680942,13.823117447714417,10.27899565712356,-0.0751852467410048,-1.767442034103361,-1.1162511409847902
sarimax_lstm,7.568646140790659,10.49223755716496,16.030532444567474,11.484242907213105,-0.3421055461866662,0.534642285464083,rmse_tuned_proxy,,,12.190614595436324,9.046708206360092,0.1671570823910632,-3.839917849131149,-2.4375347008530124
stl_xgb,13.871202685054907,18.7179967287542,15.404547183928758,11.54015574373262,-0.3552058616124538,0.6481004503780643,optuna,9.335283212183697,12.813840202408835,15.276495764824594,11.326071547254845,-0.3053907558524364,-0.12805141910416395,-0.214084196477776
stl_ann,12.900082953489862,17.671031059488346,15.702705041271493,11.955380924193111,-0.4544833961241832,0.2406412831600233,optuna,9.293344992267482,12.747731004951172,14.985448186847508,11.30269127068362,-0.3000069128615859,-0.7172568544239848,-0.6526896535094906
stl_lstm,9.36588368131468,12.734212170398822,17.93706347955128,13.47943294626071,-0.8489500414593416,0.3425671958731847,optuna,7.902851481993741,11.384846314820518,16.42331408833418,12.277556279933744,-0.5339309088120878,-1.5137493912171003,-1.2018766663269655
