specialty,model,trial,n_estimators,max_depth,learning_rate,subsample,cv_RMSE,cv_MAPE,cv_MAE,cv_R2,time_s,hidden_layers,units,dropout,batch_size,lookback
Medicine,XGBoost,5,300.0,5.0,0.01,1.0,10.730571217390557,21.189538995453148,9.090885489327567,-0.4070128809831469,3.8,,,,,
Medicine,XGBoost,9,500.0,8.0,0.05,0.85,10.936030722569374,21.109692792258176,9.21134305681501,-0.41500025304790944,14.7,,,,,
Medicine,XGBoost,6,500.0,6.0,0.05,1.0,10.982852601218317,21.05848058726514,9.180178397042411,-0.4773064608165235,7.9,,,,,
Medicine,XGBoost,3,300.0,8.0,0.1,1.0,11.095157629098201,21.516589838471358,9.290763528006417,-0.4605522501967633,12.4,,,,,
Medicine,XGBoost,0,100.0,8.0,0.1,0.85,11.102818493205906,21.539367914927475,9.57368632725307,-0.43491855934167567,5.6,,,,,
Medicine,XGBoost,7,300.0,5.0,0.05,0.7,11.181496944218381,21.994145291472268,9.588881247384208,-0.5488486246008936,3.8,,,,,
Medicine,XGBoost,8,100.0,6.0,0.3,0.7,11.48697601850556,23.636646209005516,10.224942343575615,-0.6152786169461514,1.6,,,,,
Medicine,XGBoost,1,200.0,8.0,0.01,1.0,11.54840663888802,22.981726461657438,9.797440120152066,-0.5245832483671282,11.6,,,,,
Medicine,XGBoost,2,100.0,3.0,0.1,1.0,11.589645391098959,22.745317540533154,9.730904170445033,-0.6799539979371545,0.8,,,,,
Medicine,XGBoost,4,300.0,3.0,0.3,0.85,13.308163130920466,25.066734962184253,11.25794209071568,-0.994719289682825,3.4,,,,,
Medicine,ANN,5,,,0.0006053383222993595,,13.209959656602592,30.108089497068153,11.492182050432477,-1.4543387624492832,3.2,1.0,64.0,0.1,32.0,
Medicine,ANN,2,,,0.0007339216231845529,,13.834427908448024,31.573248571752753,12.010451725551059,-1.7546298592871317,3.0,2.0,256.0,0.3,64.0,
Medicine,ANN,6,,,0.004844677737096722,,14.69114959585815,33.11540118604384,12.658398437499999,-1.9289227039505086,5.2,2.0,256.0,0.2,32.0,
Medicine,ANN,9,,,0.0038693425662390908,,14.728286931954864,32.220774216298395,12.206917463030134,-2.337745641379526,5.0,1.0,64.0,0.3,16.0,
Medicine,ANN,4,,,0.0018874053315616273,,15.293293933599301,33.68173139295811,12.877350289481026,-2.3859456736880036,2.8,2.0,192.0,0.2,64.0,
Medicine,ANN,7,,,0.007260179744876617,,15.91921582342897,35.7293114271001,13.003998129708426,-3.0114008739805667,2.7,2.0,128.0,0.1,64.0,
Medicine,ANN,8,,,0.0020238952437608886,,16.39101944441675,36.45230407290221,13.785897173200334,-3.3421841278251385,8.4,2.0,256.0,0.4,16.0,
Medicine,ANN,3,,,0.008030064871219652,,16.73416001613221,37.3169804518115,13.976108006068637,-3.456649914407295,3.4,2.0,128.0,0.3,32.0,
Medicine,ANN,0,,,0.006546838871578803,,17.12379693651905,37.53055692166898,14.457011086600167,-3.1772236391508653,16.5,1.0,256.0,0.3,32.0,
Medicine,ANN,1,,,0.009295739575551345,,17.80280726507263,41.36347242272388,15.591996111188617,-3.4949536466993423,6.5,1.0,192.0,0.1,16.0,
Medicine,LSTM,3,,,0.008030064871219652,,11.798990619829373,23.578284528380202,10.131925576266141,-0.7437182283674847,9.4,,64.0,0.2,32.0,21.0
Medicine,LSTM,6,,,0.004844677737096722,,12.929358636930733,28.043703684616496,11.315956405843625,-1.1301695280442878,10.5,,128.0,0.1,64.0,21.0
Medicine,LSTM,8,,,0.0020238952437608886,,12.961425980079175,27.810871664757805,11.61840163557093,-1.2292791371457565,15.9,,128.0,0.3,32.0,21.0
Medicine,LSTM,4,,,0.0018874053315616273,,13.433900109293234,29.22764814648027,11.536025889204467,-1.192696323840655,12.4,,128.0,0.2,64.0,21.0
Medicine,LSTM,9,,,0.0038693425662390908,,13.591293094424566,29.01829422277113,11.603023503841104,-1.5110358095056085,7.8,,64.0,0.2,32.0,14.0
Medicine,LSTM,2,,,0.0007339216231845529,,13.784205025008564,30.758714668755466,11.953108464857085,-1.228661547100618,9.3,,128.0,0.3,64.0,21.0
Medicine,LSTM,7,,,0.007260179744876617,,14.364736277016917,31.347801821444175,12.653396673892814,-1.8874277753414492,7.2,,64.0,0.1,64.0,21.0
Medicine,LSTM,5,,,0.0006053383222993595,,14.613537529423633,33.27560734435367,12.79535413429532,-1.4779549604388227,5.0,,64.0,0.1,64.0,14.0
Medicine,LSTM,1,,,0.009295739575551345,,14.614273925895082,28.343434540440324,12.026236007160556,-2.620186428695789,20.2,,128.0,0.1,32.0,14.0
Medicine,LSTM,0,,,0.006546838871578803,,16.525803827170687,36.84205232186587,15.052548384990327,-4.627049119090909,18.6,,128.0,0.2,32.0,14.0
Orthopaedics,XGBoost,9,500.0,8.0,0.05,0.85,6.297343086709378,118.2806566664261,5.326622554234096,-0.2788470026647638,15.4,,,,,
Orthopaedics,XGBoost,3,300.0,8.0,0.1,1.0,6.464335114242921,121.18640283972931,5.484136159079417,-0.36220097255154127,7.9,,,,,
Orthopaedics,XGBoost,7,300.0,5.0,0.05,0.7,6.469079197479374,125.23614090191468,5.43030037198748,-0.35808123302816824,3.7,,,,,
Orthopaedics,XGBoost,0,100.0,8.0,0.1,0.85,6.485331882653659,120.10244065480302,5.50678664616176,-0.3780275117876748,3.7,,,,,
Orthopaedics,XGBoost,1,200.0,8.0,0.01,1.0,6.512907346643478,128.01416147815695,5.51633494240897,-0.3972505339078204,9.7,,,,,
Orthopaedics,XGBoost,6,500.0,6.0,0.05,1.0,6.532318350715066,127.07365206644936,5.499657658168247,-0.38813870884664337,7.9,,,,,
Orthopaedics,XGBoost,5,300.0,5.0,0.01,1.0,6.708126143664414,136.76583167125094,5.773523930140904,-0.5333986300272088,3.8,,,,,
Orthopaedics,XGBoost,8,100.0,6.0,0.3,0.7,6.741072654023864,132.18228248294116,5.629740796770369,-0.4976446813388978,1.9,,,,,
Orthopaedics,XGBoost,2,100.0,3.0,0.1,1.0,6.774493828443923,138.6943741167015,5.925205271584647,-0.5444566636507475,0.8,,,,,
Orthopaedics,XGBoost,4,300.0,3.0,0.3,0.85,6.780001071624395,131.4986588475112,5.832795592716762,-0.5205241329907915,2.0,,,,,
Orthopaedics,ANN,2,,,0.0007339216231845529,,6.876151157883659,149.36686144008885,5.9718172618321015,-0.658440188507258,3.3,2.0,256.0,0.3,64.0,
Orthopaedics,ANN,5,,,0.0006053383222993595,,7.0624412973334305,149.70072677868822,6.115723691667829,-0.7459296458932541,4.5,1.0,64.0,0.1,32.0,
Orthopaedics,ANN,3,,,0.008030064871219652,,7.072786827500318,161.72253707599887,6.198919514247349,-0.8464299894702003,5.2,2.0,128.0,0.3,32.0,
Orthopaedics,ANN,9,,,0.0038693425662390908,,7.100396332270819,159.3049473496122,6.1325557436261855,-0.8417433362112368,4.8,1.0,64.0,0.3,16.0,
Orthopaedics,ANN,7,,,0.007260179744876617,,7.114256871872049,161.04925855287607,6.2604718617030555,-0.8385140519101307,2.1,2.0,128.0,0.1,64.0,
Orthopaedics,ANN,6,,,0.004844677737096722,,7.16224822476631,160.53443123909952,6.214255060468401,-0.8433866909020944,4.4,2.0,256.0,0.2,32.0,
Orthopaedics,ANN,4,,,0.0018874053315616273,,7.18906193773797,164.77925573999988,6.227464185442244,-0.8883970309719299,3.0,2.0,192.0,0.2,64.0,
Orthopaedics,ANN,1,,,0.009295739575551345,,7.413729421156475,167.64477255799676,6.454321588788714,-0.9868969794431608,7.7,1.0,192.0,0.1,16.0,
Orthopaedics,ANN,8,,,0.0020238952437608886,,7.558032468568579,171.10660937610777,6.664305877685547,-1.0584446169150141,8.1,2.0,256.0,0.4,16.0,
Orthopaedics,ANN,0,,,0.006546838871578803,,7.603146076047158,173.00500625052163,6.669438035147531,-1.0826853993355852,3.8,1.0,256.0,0.3,32.0,
Orthopaedics,LSTM,8,,,0.0020238952437608886,,6.472231119447851,146.01927161151502,5.736391936082943,-0.5107410011262771,22.1,,128.0,0.3,32.0,21.0
Orthopaedics,LSTM,4,,,0.0018874053315616273,,6.520584617891774,144.16327792775428,5.751949832652215,-0.5100250760646828,8.2,,128.0,0.2,64.0,21.0
Orthopaedics,LSTM,5,,,0.0006053383222993595,,6.720981921522967,142.46880583143889,5.905661522199525,-0.5857768758069157,8.0,,64.0,0.1,64.0,14.0
Orthopaedics,LSTM,2,,,0.0007339216231845529,,6.73259021338982,141.38758349452274,5.880790710151583,-0.558515201441702,9.1,,128.0,0.3,64.0,21.0
Orthopaedics,LSTM,7,,,0.007260179744876617,,6.739293439622664,152.95445339680404,5.960986134268074,-0.6482013489519789,8.4,,64.0,0.1,64.0,21.0
Orthopaedics,LSTM,6,,,0.004844677737096722,,6.779284549470529,149.3742048634062,5.87813468159319,-0.6415014308081274,27.4,,128.0,0.1,64.0,21.0
Orthopaedics,LSTM,9,,,0.0038693425662390908,,6.934909590656692,151.92602806430236,5.975597740121897,-0.7398549396607557,11.3,,64.0,0.2,32.0,14.0
Orthopaedics,LSTM,0,,,0.006546838871578803,,6.959998829757225,157.774048756696,6.006094952809217,-0.7531289697708997,15.6,,128.0,0.2,32.0,14.0
Orthopaedics,LSTM,1,,,0.009295739575551345,,7.353093826856157,157.5185199829872,6.25198679430769,-1.0751038480289314,10.0,,128.0,0.1,32.0,14.0
Orthopaedics,LSTM,3,,,0.008030064871219652,,7.418706549334384,172.80177908851573,6.407811027964608,-1.0595874439096513,10.0,,64.0,0.2,32.0,21.0
Surgery,XGBoost,2,100.0,3.0,0.1,1.0,2.1494883529320754,69.85770256982909,1.8659344860485625,,1.7,,,,,
Surgery,XGBoost,5,300.0,5.0,0.01,1.0,2.153554125969811,57.64289300498508,1.8121231504849025,,7.2,,,,,
Surgery,XGBoost,1,200.0,8.0,0.01,1.0,2.18434096511113,63.06036044290615,1.8916236332484655,,16.9,,,,,
Surgery,XGBoost,9,500.0,8.0,0.05,0.85,2.3069729661164917,83.12804985235609,2.01641366311482,,27.2,,,,,
Surgery,XGBoost,3,300.0,8.0,0.1,1.0,2.307241064452574,57.40751243051556,1.9800510721547262,,14.7,,,,,
Surgery,XGBoost,6,500.0,6.0,0.05,1.0,2.4261459255307023,54.20147814329654,1.960712357929775,,15.4,,,,,
Surgery,XGBoost,0,100.0,8.0,0.1,0.85,2.4281031291655166,78.70796329114172,2.0572347751685554,,12.5,,,,,
Surgery,XGBoost,7,300.0,5.0,0.05,0.7,2.573379163117396,82.1352598528777,2.2171166794640675,,9.3,,,,,
Surgery,XGBoost,4,300.0,3.0,0.3,0.85,2.8786806751399565,107.72610028457665,2.344231768591063,,4.4,,,,,
Surgery,XGBoost,8,100.0,6.0,0.3,0.7,2.8908469926892657,94.28416466961303,2.2604081204959323,,3.1,,,,,
Surgery,ANN,3,,,0.008030064871219652,,2.164531200827988,75.92771430573765,1.9206812756402152,,4.3,2.0,128.0,0.3,32.0,
Surgery,ANN,0,,,0.006546838871578803,,2.1757204032701276,100.21433527365564,1.9285590171813964,,6.4,1.0,256.0,0.3,32.0,
Surgery,ANN,6,,,0.004844677737096722,,2.2114481801522197,80.87701006612133,1.9572543484824045,,5.2,2.0,256.0,0.2,32.0,
Surgery,ANN,1,,,0.009295739575551345,,2.2141452063986997,95.17449327475495,1.9333449125289917,,7.8,1.0,192.0,0.1,16.0,
Surgery,ANN,2,,,0.0007339216231845529,,2.216268184215665,68.9864371171783,1.942900017329625,,4.1,2.0,256.0,0.3,64.0,
Surgery,ANN,5,,,0.0006053383222993595,,2.2177147508178336,71.14182208123661,1.973765775135585,,4.4,1.0,64.0,0.1,32.0,
Surgery,ANN,7,,,0.007260179744876617,,2.2420876428961227,84.17041374033406,1.9600162982940674,,2.5,2.0,128.0,0.1,64.0,
Surgery,ANN,4,,,0.0018874053315616273,,2.255438803057963,94.9881408831903,1.9988794871738982,,3.4,2.0,192.0,0.2,64.0,
Surgery,ANN,8,,,0.0020238952437608886,,2.3266149570358508,89.38363590682783,2.0618638822010587,,10.8,2.0,256.0,0.4,16.0,
Surgery,ANN,9,,,0.0038693425662390908,,2.3377690097852466,98.67589061234204,2.0481455768857684,,6.3,1.0,64.0,0.3,16.0,
Surgery,LSTM,2,,,0.0007339216231845529,,2.021340411517294,62.000247110810605,1.741828434650877,,11.5,,128.0,0.3,64.0,21.0
Surgery,LSTM,3,,,0.008030064871219652,,2.03765793778921,59.92128667506936,1.7290666487545512,,7.6,,64.0,0.2,32.0,21.0
Surgery,LSTM,7,,,0.007260179744876617,,2.1165823432401223,65.54904519862998,1.8073241175509214,,4.7,,64.0,0.1,64.0,21.0
Surgery,LSTM,6,,,0.004844677737096722,,2.134354747604082,74.993720473964,1.823697355993787,,7.9,,128.0,0.1,64.0,21.0
Surgery,LSTM,8,,,0.0020238952437608886,,2.152626000611284,73.76919576791778,1.7957981311924633,,14.0,,128.0,0.3,32.0,21.0
Surgery,LSTM,9,,,0.0038693425662390908,,2.172953364641753,69.51846806090515,1.7822312853379096,,8.6,,64.0,0.2,32.0,14.0
Surgery,LSTM,5,,,0.0006053383222993595,,2.2222657869967435,68.96055566880612,1.943346357608315,,3.4,,64.0,0.1,64.0,14.0
Surgery,LSTM,0,,,0.006546838871578803,,2.2612411991817867,61.44347075839541,1.7934188994711984,,18.0,,128.0,0.2,32.0,14.0
Surgery,LSTM,4,,,0.0018874053315616273,,2.279063192951826,82.18357891668875,1.8430847835848208,,12.4,,128.0,0.2,64.0,21.0
Surgery,LSTM,1,,,0.009295739575551345,,2.6185407438310726,61.68210235858611,2.038898251245768,,11.6,,128.0,0.1,32.0,14.0
Paediatrics,XGBoost,8,100.0,6.0,0.3,0.7,1.8478254130018743,55.080495049698015,1.4785174267632621,-0.40509370631656605,1.5,,,,,
Paediatrics,XGBoost,4,300.0,3.0,0.3,0.85,1.855793406116262,63.20200503454322,1.5824993097888571,-0.4292637285798514,1.8,,,,,
Paediatrics,XGBoost,2,100.0,3.0,0.1,1.0,1.884958670374047,47.291993555284684,1.5354431731360298,-0.6005831046591421,1.0,,,,,
Paediatrics,XGBoost,5,300.0,5.0,0.01,1.0,1.8974196980122735,42.70989156109946,1.5278699023383004,-0.5767570823798496,3.2,,,,,
Paediatrics,XGBoost,6,500.0,6.0,0.05,1.0,1.9224189453151665,53.19662532465799,1.6056733114378794,-0.4985011261006657,7.2,,,,,
