feature,coef,std_err,p_value,IRR
const,4.070760556711036,0.24229041156944897,2.3930780061790152e-63,58.6015154230993
dow_1,-0.046357616027356906,0.15619037402496727,0.7666176753534862,0.9547004849407449
dow_2,-0.0683699293492879,0.15656529648927678,0.6623388229744184,0.9339149271259852
dow_3,-0.10265826423755985,0.15833550901250115,0.5167527331410873,0.9024353152133147
dow_4,-0.0957970737877442,0.15639239065170055,0.5401785166371845,0.9086483859365645
dow_5,-0.043968036916711015,,,0.9569845451609289
dow_6,-0.06793737006295675,,,0.9343189880842165
temp_mean_C,0.02208956419757377,0.04636324507003232,0.6337569533277494,1.0223353450149313
wind_max_kmh,-0.010047780915743959,0.04210888061896703,0.8114046784866894,0.9900025293916112
is_weekend,-0.11190540697966743,,,0.8941288318469935
is_long_weekend,-0.07605903733378795,0.2838755977429389,0.788752527350699,0.9267614914167694
is_public_holiday,-0.04344650637871525,0.3260956519872224,0.8940095876754014,0.9574837719953245
is_school_holiday,-0.03156220418013644,0.14255573679117234,0.8247790041482754,0.9689306830403824
is_festive_season,-0.0705493519287256,0.23003028702994843,0.7590748308909558,0.9318817482293107
is_winter_holiday,-0.02437700158482114,0.24142019323761799,0.9195716290791738,0.9759177178692136
is_near_holiday,0.018746515367655665,0.12318026269104201,0.8790389301332703,1.0189233344726323
y_lag7,0.0017612285977451428,0.0033186014534358,0.5956169107232328,1.0017627804717664
