trial,method,n_estimators,max_depth,learning_rate,subsample,cv_RMSE,cv_MAPE,cv_MAE,cv_R2,time_s,model,hidden_layers,units,dropout,batch_size,lookback
7,Optuna,,,0.000992300660867254,,7.431976596715446,10.668725616727338,6.422894723074776,-0.45860065692256846,4.8,ANN,2.0,128.0,0.1,32.0,
8,Optuna,,,0.0012962896813527138,,7.787852028523292,10.37586809648099,6.351290021623884,-0.5350330486835891,3.4,ANN,1.0,128.0,0.4,64.0,
9,Optuna,,,0.0023655501778132412,,7.230519114198515,10.558110639336624,6.274183218819755,-0.4321015004866494,2.9,ANN,2.0,128.0,0.3,64.0,
0,Grid,,,0.001,,8.367420692513104,11.807509545822029,7.100308182765792,-0.9607182243335274,13.6,LSTM,,64.0,0.2,32.0,14.0
1,Grid,,,0.001,,8.149214727016865,10.977036526624122,6.697780281326264,-0.6634397783303643,16.8,LSTM,,128.0,0.2,32.0,14.0
2,Grid,,,0.001,,8.437378725381949,11.456742300665127,6.98987563711885,-0.9167171184939367,12.2,LSTM,,128.0,0.2,64.0,14.0
3,Grid,,,0.001,,8.37120510090213,11.288073736636571,6.8592472462942435,-0.9017768237463578,13.1,LSTM,,128.0,0.1,64.0,14.0
4,Grid,,,0.001,,8.52353699377147,11.854549697309984,7.1426411070635565,-1.0235867196866901,14.9,LSTM,,64.0,0.2,32.0,21.0
5,Grid,,,0.001,,8.349108536492754,11.048267365734313,6.825777700722417,-0.8461589044205903,19.1,LSTM,,128.0,0.2,32.0,21.0
6,Grid,,,0.001,,8.585127290909213,11.636593851274066,7.178189570552422,-0.9540200707716986,14.5,LSTM,,128.0,0.3,64.0,21.0
7,Grid,,,0.002,,7.592083652503176,9.708047325906827,6.018750447742675,-0.43717909505452945,14.4,LSTM,,128.0,0.3,32.0,14.0
8,Grid,,,0.0005,,8.325341504280043,11.841689923003369,7.134328748248488,-0.8918136116448363,10.7,LSTM,,64.0,0.1,32.0,21.0
9,Grid,,,0.005,,7.617935765559325,10.960630180319171,6.552600698707221,-0.6130955151348595,9.2,LSTM,,64.0,0.2,64.0,14.0
