trial,lookback,units,dropout,learning_rate,batch_size,seed,cv_MAPE,cv_std_MAPE
7,14,192,0.2,0.0009897385537466176,64,42,12.469839341994184,6.291141862416441
13,14,256,0.2,0.0008302042978002333,64,42,12.480570071240418,6.555250335775662
14,14,256,0.3,0.0010229854050560693,64,42,12.631133109388365,6.426608903160416
11,14,64,0.2,0.000566683640722217,64,42,12.729505706953224,6.511057751170524
12,14,64,0.2,0.0005487195029618164,64,42,12.738467926236877,6.539201495500331
10,14,64,0.2,0.0005276414963439699,64,42,12.749032326593909,6.572328910599779
0,21,256,0.4,0.006053448468001087,16,42,12.82765614125565,5.057099279126563
8,21,192,0.4,0.008935992678970307,32,42,13.149850755469942,6.911947209122611
1,21,96,0.2,0.0029493012052163488,32,42,13.241248793150849,5.983097554995944
6,14,128,0.1,0.000992300660867254,32,42,13.250506815688695,7.378794114323876
5,14,192,0.1,0.00488398332883916,32,42,13.362357764891902,5.491388949733641
4,21,128,0.2,0.005039829683935368,32,42,13.391439645153426,5.430956785600252
2,28,64,0.4,0.0010855517271883075,16,42,13.545304960184989,8.050613203864273
9,28,192,0.3,0.003744885232629179,16,42,13.614919276125994,5.153811704942621
3,28,96,0.4,0.0016019568611465229,32,42,13.951650989352938,7.759153692944522
