model,method,cv_RMSE,cv_MAPE,cv_MAE
XGBoost,NoOpt,10.23974529450255,13.448962558817021,8.193530927385604
ANN,NoOpt,7.5613427296181985,9.993963332114124,6.0625582013811385
LSTM,NoOpt,7.509104276867115,10.65644696776833,6.363402292128852
