model,block,method,alpha,coverage,width,winkler_score,target_coverage,MAPE,MAE,RMSE,R2
Quantile_XGBoost,val,"Quantile (a=0.025, 0.975)",0.05,0.907608695652174,35.63649057305378,55.07030739991561,0.95,11.872204919892216,7.038436868916387,9.393175767131224,0.10214371006954803
Quantile_XGBoost,test,"Quantile (a=0.025, 0.975)",0.05,0.9267676767676768,42.424138098052055,57.14632294394753,0.95,12.776198761702377,8.402235734342325,10.43716652155103,0.23618379278723856
Conformal_XGBoost,val_2nd_half,Split-Conformal (cal=val_1st_half),0.05,0.8913043478260869,33.20225375631582,51.78566253748642,0.95,12.383142851360107,7.244749069213867,9.712900890229838,0.07984618863176007
Conformal_XGBoost,test,Split-Conformal (cal=val_1st_half),0.05,0.8964646464646465,33.20225375631582,50.6898613931005,0.95,12.63287075621472,8.273935298727016,10.301628653680272,0.25589293921613776
SARIMAX_Gaussian,val,Parametric,0.05,0.9836956521739131,42.654556048792735,45.73622883851453,0.95,12.52471351269471,7.175508610368938,9.122631126844166,0.15311944652042075
NB_GLM_NBpmf,val,Parametric,0.05,1.0,257.8423913043478,257.8423913043478,0.95,12.646961884196587,7.764335267039514,9.792839445857119,0.02411374770656649
