feature,coef,std_err,p_value
dow_1,-53.1926408205804,6.647270927393309,1.222381566644654e-15
dow_2,-24.461405208364994,3.329583780249197,2.0318202750185e-13
dow_3,-48.18252249046152,6.759210515089479,1.0152418927332978e-12
dow_4,-56.322848242399125,4.464670546914861,1.740475742352071e-36
dow_5,-6.477949763270022,2.3656106329428095,0.006174198056451141
dow_6,-36.540339808917906,4.117644243802424,7.05084200314233e-19
temp_mean_C,0.9331625896455675,0.8165296202211074,0.25310508955072986
wind_max_kmh,-0.056716916224677796,0.4397500674891192,0.8973771585013984
is_weekend,-43.01828952958252,2.866782690577112,6.730254720497085e-51
is_long_weekend,-0.3386458923044458,3.9422472087469624,0.9315445287972517
is_public_holiday,-7.85142770827754,4.1970644910849995,0.06138736329184503
is_school_holiday,-3.340731884703342,1.7299479791427685,0.05346858992676279
is_festive_season,3.153487305052559,3.7231884898906373,0.3970031077411301
is_winter_holiday,-2.577447381494363,3.5704827256147165,0.47037044362652203
is_near_holiday,-1.1529113562111974,1.3538243061562896,0.39443836359019724
