feature,coef,std_err,p_value
dow_1,1.3770987655737807,0.08549929813642523,2.2947289839069453e-58
dow_2,0.58979194264387,0.02564565477693634,4.911140237213544e-117
dow_3,1.1451267812184438,0.025335377669755063,0.0
dow_4,1.6487840858864844,0.01408165360715514,0.0
dow_5,-0.3301014220041987,0.018211318369848472,1.980905588220485e-73
dow_6,0.6983960560416391,0.024886678633659873,2.7687055039651085e-173
is_weekend,0.36829574920199903,0.009665355705284755,0.0
is_long_weekend,-0.004148688033502687,0.03046383629777071,0.8916757987922331
is_public_holiday,0.007529934142869616,0.03494028629320685,0.8293707640225014
is_school_holiday,-0.004700765930420076,0.03129589161575814,0.8806037249560044
is_festive_season,0.0007233678450127693,0.058570937163262046,0.9901461477112232
is_winter_holiday,0.012200348994634735,0.07301544229691495,0.8672970925855192
is_near_holiday,0.004505131966547329,0.031026040442159133,0.8845491261360003
surgery_is_weekend,0.36829574948157734,0.009665355705283905,0.0
surgery_is_long_weekend,-0.004148688291557917,0.03046383629777073,0.8916757920958407
surgery_is_public_holiday,0.007529934000823628,0.034940286293206835,0.8293707671917578
