model,baseline_MAPE,augmented_MAPE,delta_pp,augmented_MAE,augmented_RMSE,augmented_R2
SARIMAX,12.52471351269471,14.711121344991401,2.186407832296691,8.41233384348805,10.565632049523671,-0.1359857821141004
NB-GLM,12.646961884196587,12.186688439999141,-0.46027344419744587,7.201637426100008,9.22235093114158,0.1345036921359154
XGBoost,12.018031469323445,12.029822283022035,0.011790813698590696,7.105399629344111,9.361846475447912,0.10812300658903895
ANN,12.054798314182834,12.4200587963304,0.36526048214756557,7.3769211354463,9.32145365204563,0.11580262661694984
LSTM,12.742418309593209,12.114304180970706,-0.6281141286225029,7.157011540199257,9.499144510865413,0.08177117769357334
ARIMA,13.325752833138846,,,,,
