date,residual
2022-03-31,3.0224164984229986
2022-04-01,-2.8967495837790125
2022-04-02,8.650652784718012
2022-04-03,-1.7761011645959002
2022-04-04,-11.272010233732374
2022-04-05,10.655529070093586
2022-04-06,7.92301006600043
2022-04-07,-1.9842425309419056
2022-04-08,20.98085242620605
2022-04-09,2.9032557861778088
2022-04-10,-17.982359834378514
2022-04-11,-7.933559373416003
2022-04-12,4.081279321780556
2022-04-13,-9.813278150152641
2022-04-14,-12.640151822044189
2022-04-15,-1.0509309231272397
2022-04-16,-4.35781155205769
2022-04-17,-14.063418968224411
2022-04-18,-5.992621626070914
2022-04-19,19.6035355004244
2022-04-20,7.65562175764633
2022-04-21,4.421674894963907
2022-04-22,4.961719953101806
2022-04-23,-17.0743858006037
2022-04-24,11.371626249716847
2022-04-25,3.592483819200467
2022-04-26,11.261670137307277
2022-04-27,10.310174582942807
2022-04-28,-2.6136621569227714
2022-04-29,-9.246348915573613
2022-04-30,2.5822613257941214
2022-05-01,11.230915518030692
2022-05-02,-12.630212289299635
2022-05-03,-4.088461883826469
2022-05-04,5.985804115265253
2022-05-05,7.118354759430261
2022-05-06,7.0946282306577615
2022-05-07,-8.09064581262085
2022-05-08,3.253237672647991
2022-05-09,-13.78450904992792
2022-05-10,-11.567824767431198
2022-05-11,-5.994462180194105
2022-05-12,11.089535730882915
2022-05-13,0.02409644955010748
2022-05-14,6.465064264842063
2022-05-15,-13.078768942359467
2022-05-16,1.512089497357259
2022-05-17,8.433627673316217
2022-05-18,-0.6368716883536365
2022-05-19,1.8901601430909452
2022-05-20,10.020904136742239
2022-05-21,3.5666630085836317
2022-05-22,0.5092139627493566
2022-05-23,7.91207581520748
2022-05-24,3.589566937530897
2022-05-25,-5.731583827342611
2022-05-26,2.7752797539902048
2022-05-27,-2.07773084962448
2022-05-28,11.624652394497232
2022-05-29,6.976022933555761
2022-05-30,-17.578391165674432
2022-05-31,-4.809563648980344
2022-06-01,1.1889319218077645
2022-06-02,10.798113510080505
2022-06-03,1.8066443763398965
2022-06-04,1.522408449820908
2022-06-05,-4.925484755079239
2022-06-06,-9.172828307268745
2022-06-07,-4.840418358425573
2022-06-08,0.12723944642612395
