label,order,aic,train_days,test_days,train_start,train_end,test_start,test_end,MAPE,MAE,RMSE,R2
70_30_full,"(0, 1, 2)",12970.64749600605,1696,727,2019-05-01,2024-02-04,2024-02-05,2026-01-31,14.02887811156015,8.649781956504741,11.051577499186806,0.09835133419853948
80_20_post_covid,"(0, 1, 2)",8870.836446059251,1142,286,2022-03-01,2025-04-20,2025-04-21,2026-01-31,14.833424723644661,9.586865679417295,12.297853062426402,-0.08582579373972288
