block,baseline,MAPE,MAE,RMSE,R2
val,naive_yest,16.96460696871895,10.08695652173913,13.446350725237199,-0.8398855187259899
val,naive_seasonal,16.382945126262747,9.679347826086957,12.225463448137218,-0.5209417954335533
val,dow_mean,12.273827773948964,7.289221763085399,9.39896723840707,0.10103620136877522
test,naive_yest,16.750462111084836,11.073232323232324,14.124893849605606,-0.39892370576593095
test,naive_seasonal,17.52690018779173,11.287878787878787,14.205917105490965,-0.4150187561860359
test,dow_mean,17.761130480644624,12.638685983713756,15.03732818717753,-0.5854954523544735
