specialty,model,block,MAPE,MAE,RMSE,R2,order,params,cv_RMSE,cv_MAPE
Medicine,ARIMA,val,21.37316520344165,8.905672574545559,11.174987116975295,-0.18016876273599047,"(2, 1, 1)",,,
Medicine,ARIMA,test,21.062117347127685,9.991956093372618,12.464814694922033,0.0020625885691961665,"(2, 1, 1)",,,
Medicine,SARIMAX,val,23.042342307159878,9.632584580792093,11.929819986286272,-0.34498621761378456,"(2, 1, 1)x(2, 1, 0, 7)",,,
Medicine,SARIMAX,test,20.478242271440514,10.079716687751372,12.43719862783752,0.0064795940803310526,"(2, 1, 1)x(2, 1, 0, 7)",,,
Medicine,NB-GLM,val,23.579366816853618,9.47126327133426,11.49734371154873,-0.24923770136230083,,,,
Medicine,NB-GLM,test,20.986635129677,10.554049604489661,12.954067194647081,-0.07781430144708024,,,,
Medicine,XGBoost,val,21.608324928432516,8.887406639430834,11.448011084825787,-0.23854028078728517,,"{'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.01, 'subsample': 1.0}",10.730571217390557,21.189538995453148
Medicine,XGBoost,test,18.86306336975037,9.327759983563665,11.74144600599063,0.11452802260637518,,"{'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.01, 'subsample': 1.0}",10.730571217390557,21.189538995453148
Medicine,ANN,val,22.491671509960607,8.688303449879522,10.601948241108778,-0.06223696979508797,,"{'hidden_layers': 1, 'units': 64, 'dropout': 0.1, 'learning_rate': 0.0006053383222993595, 'batch_size': 32}",13.209959656602592,30.108089497068153
Medicine,ANN,test,19.098892307318273,9.389614721741339,11.652306508650323,0.12792175825004692,,"{'hidden_layers': 1, 'units': 64, 'dropout': 0.1, 'learning_rate': 0.0006053383222993595, 'batch_size': 32}",13.209959656602592,30.108089497068153
Medicine,LSTM,val,23.410891402954565,9.455094802871395,11.983671795932572,-0.35715629529442317,,"{'lookback': 21, 'units': 64, 'dropout': 0.2, 'learning_rate': 0.008030064871219652, 'batch_size': 32}",11.798990619829373,23.578284528380202
Medicine,LSTM,test,18.87070013802152,9.29846729716469,11.73193205999814,0.11596241484411807,,"{'lookback': 21, 'units': 64, 'dropout': 0.2, 'learning_rate': 0.008030064871219652, 'batch_size': 32}",11.798990619829373,23.578284528380202
Orthopaedics,ARIMA,val,84.54982885570323,3.591499722449083,4.433444662621206,0.41245842210649075,"(3, 1, 3)",,,
Orthopaedics,ARIMA,test,82.17512451674494,3.949406983465034,5.041153175167497,0.4407460838109004,"(3, 1, 3)",,,
Orthopaedics,SARIMAX,val,100.44207578448048,5.136405724627792,6.425052590329381,-0.23398361965958014,"(2, 1, 0)x(2, 1, 0, 7)",,,
Orthopaedics,SARIMAX,test,109.41401372547352,5.249335062785286,6.639575396710332,0.02987016579833368,"(2, 1, 0)x(2, 1, 0, 7)",,,
Orthopaedics,NB-GLM,val,157.05480820399904,5.2355919390953245,6.213380016766171,-0.15401606272951995,,,,
Orthopaedics,NB-GLM,test,150.8264410724311,5.338425192184599,6.326961473371879,0.11907359762444869,,,,
Orthopaedics,XGBoost,val,148.28360463629892,5.39779903318571,6.342301981694888,-0.20240245532512646,,"{'n_estimators': 500, 'max_depth': 8, 'learning_rate': 0.05, 'subsample': 0.85}",6.297343086709378,118.2806566664261
Orthopaedics,XGBoost,test,159.56883431229338,6.195677290661166,7.394603029975014,-0.2033140163180418,,"{'n_estimators': 500, 'max_depth': 8, 'learning_rate': 0.05, 'subsample': 0.85}",6.297343086709378,118.2806566664261
