hybrid,block,in_sample_MAPE,oof_MAPE,delta_MAPE,in_sample_RMSE,oof_RMSE,delta_RMSE
SARIMAX+XGBoost,val,12.637,13.298542359079772,0.6615423590797711,9.495,10.003406372348755,0.5084063723487553
SARIMAX+XGBoost,test,13.458,14.565764407925174,1.107764407925174,10.833,11.864705125315314,1.0317051253153142
