date,residual
2022-03-01,0.7349968743903332
2022-03-02,-1.3413686801776805
2022-03-03,-2.001065543735976
2022-03-04,1.9048095712133488
2022-03-05,1.6750227857182836
2022-03-06,1.0238209781495016
2022-03-07,1.0265547343445434
2022-03-08,-4.436920362594563
2022-03-09,-1.5154944559882608
2022-03-10,24.248148040584155
2022-03-11,-0.12391684439982953
2022-03-12,-2.068867861477912
2022-03-13,-0.7882444923515379
2022-03-14,-2.8635585279107403
2022-03-15,7.371987787706672
2022-03-16,10.514720719712955
2022-03-17,1.0689526279729478
2022-03-18,-5.157110013117816
2022-03-19,1.0864814212330316
2022-03-20,-4.355384515134418
2022-03-21,1.9625559607912777
2022-03-22,-4.010562999175349
2022-03-23,-2.1637857025887115
2022-03-24,7.043696264143179
2022-03-25,-2.0386914674682544
2022-03-26,-8.582804003921936
2022-03-27,7.604909426926909
2022-03-28,28.39467258494234
2022-03-29,-1.8587769385649864
2022-03-30,-18.788027186975818
2022-03-31,0.6904645875967788
2022-04-01,0.020232238127945834
2022-04-02,3.88515814809179
2022-04-03,0.89678013863778
2022-04-04,-4.032232536848909
2022-04-05,0.4129916074197837
2022-04-06,3.7511839652700303
2022-04-07,-1.433750013277951
2022-04-08,23.429603570192015
2022-04-09,5.040010357104535
2022-04-10,-5.094357262704968
2022-04-11,4.684454642220885
2022-04-12,0.4754288009813976
2022-04-13,-5.8487974564433
2022-04-14,-3.4557575231659143
2022-04-15,1.847801501663774
2022-04-16,-3.2961690495233142
2022-04-17,-9.968580081990126
2022-04-18,-3.8780833402249684
2022-04-19,8.788648609373872
2022-04-20,2.381822883197799
2022-04-21,0.5027142002755198
2022-04-22,0.4334793133401149
2022-04-23,-17.916165408442176
2022-04-24,3.7870793780939067
2022-04-25,5.664819904484823
2022-04-26,1.3252653027514398
2022-04-27,-0.37143135975584585
2022-04-28,-3.1199018338195543
2022-04-29,-9.873956134524299
2022-04-30,0.3750893042673198
2022-05-01,5.2745368909234855
2022-05-02,-3.9655897940261795
2022-05-03,-4.616582819042819
2022-05-04,5.053896898965917
2022-05-05,3.7277714413485796
2022-05-06,4.58494277801816
2022-05-07,-2.957716520607974
2022-05-08,1.1931344214858015
2022-05-09,-3.009274978578212
2022-05-10,-9.360806983496751
2022-05-11,-3.6105268233119574
2022-05-12,5.715191135136351
2022-05-13,-1.2371871689929037
2022-05-14,3.4710513056418506
2022-05-15,-15.181643692021431
2022-05-16,1.8191364051099512
2022-05-17,5.387224567184489
2022-05-18,-1.0184967925981212
2022-05-19,-7.474671981339981
2022-05-20,4.67204081272795
2022-05-21,-3.261637904702326
2022-05-22,-3.7839340848540957
2022-05-23,11.452400439288802
2022-05-24,5.413843878501581
2022-05-25,-2.770872545799243
2022-05-26,-2.6791027263817
