model,horizon,n_days,MAPE,MAE,RMSE,R2
ensemble_E1,1,27,13.598428918298733,9.754258483341395,12.387715936554425,-0.1649144448199904
ensemble_E1,2,27,12.428383273263712,6.736008460370506,9.023015140787482,-0.06406452053339362
ensemble_E1,3,26,12.267091445073387,7.155001949968893,9.019107740387847,0.09480559365705188
ensemble_E1,4,26,11.776192741333299,6.4917520407387705,7.940725329356015,0.04658539234046033
ensemble_E1,5,26,9.094397075083508,5.885362282111917,8.304320506042194,0.004651643835057118
ensemble_E1,6,26,12.579826512310973,6.687962762660505,8.450651652681616,0.0020973804088701975
ensemble_E1,7,26,11.125476443094067,6.021308567332256,7.288882560233622,0.08663566876810302
ensemble_E2,1,27,13.22992192493927,9.486899469600118,12.154059377803168,-0.121383759297228
ensemble_E2,2,27,12.243154016120481,6.668319919965021,8.92199252553485,-0.040371150025728886
ensemble_E2,3,26,12.359891361571272,7.1827575578242335,9.098120669605594,0.07887600234008918
ensemble_E2,4,26,11.832992269511786,6.527258745541151,7.8686340947234505,0.0638182852900695
ensemble_E2,5,26,9.345546812165708,6.023132897656857,8.562786715228706,-0.058271625233070834
ensemble_E2,6,26,12.235245023751345,6.529030126432911,8.189711060779684,0.06277271705309106
ensemble_E2,7,26,11.256910089384615,6.126763868971794,7.515347123671401,0.028997760607548773
ensemble_E3,1,27,13.069550083439497,9.474783063242011,12.439396436379353,-0.17465456845974203
ensemble_E3,2,27,11.824071251769373,6.5432861142638785,8.749675940315901,-0.0005724189669014113
ensemble_E3,3,26,12.556791937647157,7.428140230301637,8.989915797101178,0.10065575554185746
ensemble_E3,4,26,11.634535553363424,6.5319194203644315,7.885710767778663,0.05975043402458624
ensemble_E3,5,26,8.96800737628798,5.874782031939693,8.480631534089586,-0.038061986136484816
ensemble_E3,6,26,12.537859277859503,6.754679528279981,8.467624579225104,-0.0019151709683375984
ensemble_E3,7,26,10.963501839321387,6.015268858566802,7.3337812074275455,0.07534858127386945
