date,Surgery,Paediatrics,sum
2024-07-01,0.015673788264393806,0.026480210945010185,0.04215399920940399
2024-07-02,0.025226645171642303,0.014272356405854225,0.03949900157749653
2024-07-03,0.015706853941082954,0.024092596024274826,0.03979944996535778
2024-07-04,0.008553205989301205,0.035180818289518356,0.04373402427881956
2024-07-05,0.02184348925948143,0.05729210376739502,0.07913559302687645
2024-07-06,0.03567493334412575,0.0542713962495327,0.08994632959365845
2024-07-07,0.051432397216558456,0.010688659735023975,0.06212105695158243
2024-07-08,0.015673788264393806,0.01523115485906601,0.030904943123459816
2024-07-09,0.029387226328253746,0.026160379871726036,0.05554760619997978
2024-07-10,0.03073054552078247,0.0379832424223423,0.06871378794312477
2024-07-11,0.024763114750385284,0.036436378955841064,0.06119949370622635
2024-07-12,0.07314909994602203,0.02778511308133602,0.10093421302735806
2024-07-13,0.034012358635663986,0.0198212880641222,0.053833646699786186
2024-07-14,0.0360814705491066,0.03363785892724991,0.0697193294763565
2024-07-15,0.028493721038103104,0.027794230729341507,0.05628795176744461
2024-07-16,0.029387226328253746,0.03065134584903717,0.060038572177290916
2024-07-17,0.03073054552078247,0.04449458420276642,0.07522512972354889
2024-07-18,0.024763114750385284,0.030059486627578735,0.05482260137796402
2024-07-19,0.07314909994602203,0.023374153301119804,0.09652325324714184
2024-07-20,0.034012358635663986,0.02341906912624836,0.057431427761912346
2024-07-21,0.0360814705491066,0.038891784846782684,0.07497325539588928
2024-07-22,0.028493721038103104,0.02653626725077629,0.055029988288879395
2024-07-23,0.029387226328253746,0.027972176671028137,0.05735940299928188
2024-07-24,0.03073054552078247,0.03130848705768585,0.06203903257846832
2024-07-25,0.024763114750385284,0.034268978983163834,0.05903209373354912
2024-07-26,0.07314909994602203,0.027503928169608116,0.10065302811563015
2024-07-27,0.034012358635663986,0.03984136879444122,0.07385372743010521
2024-07-28,0.0360814705491066,0.03299751132726669,0.06907898187637329
2024-07-29,0.028493721038103104,0.018271613866090775,0.04676533490419388
2024-07-30,0.029387226328253746,0.03693294897675514,0.06632017530500889
2024-07-31,0.03073054552078247,0.035001643002033234,0.0657321885228157
2024-08-01,0.024763114750385284,0.028858939185738564,0.05362205393612385
2024-08-02,0.07314909994602203,0.023606082424521446,0.09675518237054348
2024-08-03,0.034012358635663986,0.021582050248980522,0.05559440888464451
2024-08-04,0.0360814705491066,0.021837569773197174,0.05791904032230377
2024-08-05,0.028493721038103104,0.041961122304201126,0.07045484334230423
2024-08-06,0.015494177117943764,0.034261658787727356,0.04975583590567112
2024-08-07,0.0349680595099926,0.024916384369134903,0.0598844438791275
2024-08-08,0.022415393963456154,0.0368967279791832,0.05931212194263935
2024-08-09,0.018750013783574104,0.029363436624407768,0.04811345040798187
2024-08-10,0.058281414210796356,0.014899513684213161,0.07318092789500952
2024-08-11,0.045815180987119675,0.023381749168038368,0.06919693015515804
2024-08-12,0.02676803059875965,0.027899594977498055,0.054667625576257706
2024-08-13,0.029387226328253746,0.03040289878845215,0.059790125116705894
2024-08-14,0.03073054552078247,0.028914060443639755,0.059644605964422226
2024-08-15,0.024763114750385284,0.028235694393515587,0.05299880914390087
2024-08-16,0.07314909994602203,0.03279052674770355,0.10593962669372559
2024-08-17,0.034012358635663986,0.03026496060192585,0.06427731923758984
2024-08-18,0.0360814705491066,0.03813791275024414,0.07421938329935074
2024-08-19,0.028493721038103104,0.02653626725077629,0.055029988288879395
2024-08-20,0.029387226328253746,0.03433433175086975,0.0637215580791235
2024-08-21,0.03073054552078247,0.024295775219798088,0.05502632074058056
2024-08-22,0.024763114750385284,0.028400767594575882,0.053163882344961166
2024-08-23,0.07314909994602203,0.028070183470845222,0.10121928341686726
2024-08-24,0.034012358635663986,0.023403750732541084,0.05741610936820507
2024-08-25,0.0360814705491066,0.04592452570796013,0.08200599625706673
2024-08-26,0.028493721038103104,0.049663104116916656,0.07815682515501976
2024-08-27,0.029387226328253746,0.02988363616168499,0.059270862489938736
2024-08-28,0.03073054552078247,0.03970329836010933,0.0704338438808918
2024-08-29,0.024763114750385284,0.02644449658691883,0.051207611337304115
2024-08-30,0.07314909994602203,0.023989932611584663,0.0971390325576067
2024-08-31,0.034012358635663986,0.02348247729241848,0.057494835928082466
2024-09-01,0.0360814705491066,0.028851808980107307,0.0649332795292139
2024-09-02,0.028493721038103104,0.04698891565203667,0.07548263669013977
2024-09-03,0.029387226328253746,0.039379023015499115,0.06876624934375286
2024-09-04,0.03073054552078247,0.03470630571246147,0.06543685123324394
2024-09-05,0.024763114750385284,0.036828938871622086,0.06159205362200737
2024-09-06,0.07314909994602203,0.023606082424521446,0.09675518237054348
2024-09-07,0.034012358635663986,0.03984136879444122,0.07385372743010521
2024-09-08,0.0360814705491066,0.04110739752650261,0.07718886807560921
2024-09-09,0.028493721038103104,0.02290015108883381,0.05139387212693691
2024-09-10,0.029387226328253746,0.0741870328783989,0.10357425920665264
2024-09-11,0.03073054552078247,0.035001643002033234,0.0657321885228157
2024-09-12,0.024763114750385284,0.02410965785384178,0.048872772604227066
2024-09-13,0.07314909994602203,0.027503928169608116,0.10065302811563015
2024-09-14,0.034012358635663986,0.03719574213027954,0.07120810076594353
2024-09-15,0.0360814705491066,0.05006398260593414,0.08614545315504074
2024-09-16,0.028493721038103104,0.036319002509117126,0.06481272354722023
2024-09-17,0.029387226328253746,0.025377444922924042,0.05476467125117779
2024-09-18,0.03073054552078247,0.0349615253508091,0.06569207087159157
2024-09-19,0.024763114750385284,0.026781972497701645,0.05154508724808693
2024-09-20,0.07314909994602203,0.04102950170636177,0.1141786016523838
2024-09-21,0.044589173048734665,0.03708517178893089,0.08167434483766556
2024-09-22,0.04739232733845711,0.01080375351011753,0.05819608084857464
2024-09-23,0.02676803059875965,0.0263177789747715,0.05308580957353115
2024-09-24,0.07909565418958664,0.04054746776819229,0.11964312195777893
2024-09-25,0.0349680595099926,0.0267069973051548,0.0616750568151474
2024-09-26,0.022415393963456154,0.022877182811498642,0.045292576774954796
2024-09-27,0.0391874834895134,0.027201330289244652,0.06638881377875805
2024-09-28,0.04242648929357529,0.07120882719755173,0.11363531649112701
2024-09-29,0.033420003950595856,0.020706012845039368,0.05412601679563522
2024-09-30,0.03131568431854248,0.025799985975027084,0.057115670293569565
2024-10-01,0.03920852392911911,0.03407932445406914,0.07328784838318825
2024-10-02,0.03315644711256027,0.046957824379205704,0.08011427149176598
2024-10-03,0.02569112926721573,0.045382168143987656,0.07107329741120338
2024-10-04,0.02480180747807026,0.03375477343797684,0.058556580916047096
2024-10-05,0.04242648929357529,0.04449693113565445,0.08692342042922974
2024-10-06,0.033420003950595856,0.047051314264535904,0.08047131821513176
2024-10-07,0.03131568431854248,0.04470755532383919,0.07602323964238167
2024-10-08,0.029387226328253746,0.03494890779256821,0.06433613412082195
2024-10-09,0.03073054552078247,0.028671443462371826,0.0594019889831543
2024-10-10,0.024763114750385284,0.028543507680296898,0.05330662243068218
2024-10-11,0.07314909994602203,0.03792610391974449,0.11107520386576653
2024-10-12,0.034012358635663986,0.03262174129486084,0.06663409993052483
2024-10-13,0.0360814705491066,0.0389544814825058,0.0750359520316124
2024-10-14,0.028493721038103104,0.04153783619403839,0.0700315572321415
2024-10-15,0.029387226328253746,0.0741870328783989,0.10357425920665264
2024-10-16,0.03073054552078247,0.03490624204277992,0.0656367875635624
2024-10-17,0.024763114750385284,0.049212995916604996,0.07397611066699028
2024-10-18,0.07314909994602203,0.021665267646312714,0.09481436759233475
2024-10-19,0.034012358635663986,0.03045317530632019,0.06446553394198418
2024-10-20,0.0360814705491066,0.028960583731532097,0.0650420542806387
2024-10-21,0.028493721038103104,0.021711129695177078,0.05020485073328018
2024-10-22,0.029387226328253746,0.040400125086307526,0.06978735141456127
2024-10-23,0.03073054552078247,0.039181459695100784,0.06991200521588326
2024-10-24,0.024763114750385284,0.036436378955841064,0.06119949370622635
2024-10-25,0.07314909994602203,0.030598683282732964,0.103747783228755
2024-10-26,0.034012358635663986,0.03446659445762634,0.06847895309329033
2024-10-27,0.0360814705491066,0.03472047299146652,0.07080194354057312
2024-10-28,0.028493721038103104,0.04155871644616127,0.07005243748426437
2024-10-29,0.029387226328253746,0.03494890779256821,0.06433613412082195
2024-10-30,0.03073054552078247,0.03284737840294838,0.06357792392373085
2024-10-31,0.024763114750385284,0.026402169838547707,0.05116528458893299
2024-11-01,0.07314909994602203,0.02619301527738571,0.09934211522340775
2024-11-02,0.034012358635663986,0.03087959624826908,0.06489195488393307
2024-11-03,0.0360814705491066,0.040079712867736816,0.07616118341684341
2024-11-04,0.028493721038103104,0.030030999332666397,0.0585247203707695
2024-11-05,0.029387226328253746,0.020885881036520004,0.05027310736477375
2024-11-06,0.03073054552078247,0.0349615253508091,0.06569207087159157
2024-11-07,0.024763114750385284,0.020167723298072815,0.0449308380484581
2024-11-08,0.07314909994602203,0.023606082424521446,0.09675518237054348
2024-11-09,0.034012358635663986,0.028253735974431038,0.062266094610095024
2024-11-10,0.0360814705491066,0.021899379789829254,0.05798085033893585
2024-11-11,0.028493721038103104,0.04153783619403839,0.0700315572321415
2024-11-12,0.029387226328253746,0.03636183962225914,0.06574906595051289
2024-11-13,0.03073054552078247,0.040878456085920334,0.0716090016067028
2024-11-14,0.024763114750385284,0.037267547100782394,0.06203066185116768
2024-11-15,0.07314909994602203,0.030486084520816803,0.10363518446683884
2024-11-16,0.034012358635663986,0.01976356841623783,0.05377592705190182
2024-11-17,0.0360814705491066,0.03813791275024414,0.07421938329935074
2024-11-18,0.028493721038103104,0.04354667291045189,0.07204039394855499
2024-11-19,0.029387226328253746,0.02844974584877491,0.057836972177028656
