date,trend,seasonal,residual
2022-03-01,86.70694918607991,-2.441946060470241,0.7349968743903332
2022-03-02,85.31726977449468,-0.9759010943169963,-1.3413686801776805
2022-03-03,83.91954947729334,-17.918483933557372,-2.001065543735976
2022-03-04,82.51850785049906,5.576682578287595,1.9048095712133488
2022-03-05,81.12851294911523,-0.8035357348335227,1.6750227857182836
2022-03-06,79.7666525932551,4.2095264285954,1.0238209781495016
2022-03-07,78.4476748199044,8.525770445751043,1.0265547343445434
2022-03-08,77.15705576043325,-1.7201353978386846,-4.436920362594563
2022-03-09,76.00283179099722,2.5126626649910437,-1.5154944559882608
2022-03-10,75.04828527692118,-12.296433317505334,24.248148040584155
2022-03-11,74.46761433262287,0.6563025117769525,-0.12391684439982953
2022-03-12,74.14853480904821,-1.0796669475703002,-2.068867861477912
2022-03-13,73.83442726253004,1.9538172298214993,-0.7882444923515379
2022-03-14,73.40010987680621,6.463448651104532,-2.8635585279107403
2022-03-15,72.70925723552222,-1.0812450232288904,7.371987787706672
2022-03-16,71.88947760813996,5.595801672147089,10.514720719712955
2022-03-17,71.02055935370848,-7.089511981681419,1.0689526279729478
2022-03-18,70.07476047055887,-3.917650457441055,-5.157110013117816
2022-03-19,69.01730675120666,-1.103788172439686,1.0864814212330316
2022-03-20,67.84944075443329,-0.49405623929887094,-4.355384515134418
2022-03-21,66.73831764401154,4.299126395197177,1.9625559607912777
2022-03-22,66.0624846630769,-0.051921663901552895,-4.010562999175349
2022-03-23,65.80255343293996,8.361232269648749,-2.1637857025887115
2022-03-24,65.77834762461819,-1.8220438887613732,7.043696264143179
2022-03-25,65.87747308273461,-7.838781615266358,-2.0386914674682544
2022-03-26,66.07838902232433,-0.495585018402397,-8.582804003921936
2022-03-27,66.35024536276096,-2.955154789687865,7.604909426926909
2022-03-28,66.75328490126388,2.85204251379377,28.39467258494234
2022-03-29,67.08526719724318,1.7735097413217966,-1.8587769385649864
2022-03-30,67.3024914728593,8.485535714116516,-18.788027186975818
2022-03-31,67.57342628179332,-2.2638908693901,0.6904645875967788
2022-04-01,67.65283091406836,-6.673063152196312,0.020232238127945834
2022-04-02,67.46682693604755,0.6480149158606597,3.88515814809179
2022-04-03,67.28885445732399,-6.18563459596178,0.89678013863778
2022-04-04,66.96729828361903,2.0649342532298816,-4.032232536848909
2022-04-05,66.2945585377487,5.2924498548315135,0.4129916074197837
2022-04-06,65.45895298511165,7.78986304961832,3.7511839652700303
2022-04-07,64.4988760441763,-4.065126030898351,-1.433750013277951
2022-04-08,63.32634968542587,-4.755953255617883,23.429603570192015
2022-04-09,62.04475074951007,0.9152388933853887,5.040010357104535
2022-04-10,60.74949901931551,-8.655141756610538,-5.094357262704968
2022-04-11,59.3466980832014,0.968847274577712,4.684454642220885
2022-04-12,57.90819997534941,8.616371223669193,0.4754288009813976
2022-04-13,56.65387119983683,8.19492625660647,-5.8487974564433
2022-04-14,55.9080058484039,-5.452248325237988,-3.4557575231659143
2022-04-15,55.89380747084623,-3.741608972509998,1.847801501663774
2022-04-16,56.465586081311876,-1.1694170317885622,-3.2961690495233142
2022-04-17,57.356951117698145,-7.388371035708021,-9.968580081990126
2022-04-18,58.56477351914886,1.3133098210761087,-3.8780833402249684
2022-04-19,60.01981979212669,8.191531598499445,8.788648609373872
2022-04-20,61.54438180659563,8.073795310206572,2.381822883197799
2022-04-21,62.94848209181468,-4.4511962920901995,0.5027142002755198
2022-04-22,64.0358074611474,-3.469286774487518,0.4334793133401149
2022-04-23,64.49515752703451,-3.5789921185923323,-17.916165408442176
2022-04-24,64.23627549581386,-4.023354873907769,3.7870793780939067
2022-04-25,63.600336778814615,-0.26515668329944103,5.664819904484823
2022-04-26,63.00843810907448,4.666296588174084,1.3252653027514398
2022-04-27,62.301617939724025,8.069813420031824,-0.37143135975584585
2022-04-28,61.31348647243154,-1.1935846386119902,-3.1199018338195543
2022-04-29,60.31330218586642,-2.4393460513421177,-9.873956134524299
2022-04-30,59.58566197310968,-4.960751277376998,0.3750893042673198
2022-05-01,59.209168898217754,-0.48370578914123497,5.2745368909234855
2022-05-02,59.06272739047366,-1.0971375964474845,-3.9655897940261795
2022-05-03,58.96769823227927,0.6488845867635491,-4.616582819042819
2022-05-04,58.70592463419522,6.240178466838864,5.053896898965917
2022-05-05,58.100423856109785,1.1718047025416332,3.7277714413485796
2022-05-06,57.269269484937034,-0.8542122629551961,4.58494277801816
2022-05-07,56.57264877119886,-3.614932250590883,-2.957716520607974
2022-05-08,56.07160899402018,-2.264743415505983,1.1931344214858015
2022-05-09,55.60747462102318,-0.598199642444968,-3.009274978578212
2022-05-10,55.1436824347819,0.21712454871485148,-9.360806983496751
2022-05-11,54.99050661225744,3.620020211054513,-3.6105268233119574
2022-05-12,55.247991824286835,1.036817040576813,5.715191135136351
2022-05-13,55.69782543062119,1.5393617383717193,-1.2371871689929037
2022-05-14,56.1335326112668,-1.6045839169086542,3.4710513056418506
2022-05-15,56.57409828766336,-4.392454595641931,-15.181643692021431
2022-05-16,56.780969250257144,0.3998943446329033,1.8191364051099512
2022-05-17,56.6990901737205,0.9136852590950121,5.387224567184489
2022-05-18,56.58873772231996,1.4297590702781575,-1.0184967925981212
2022-05-19,56.625861558555464,0.8488104227845192,-7.474671981339981
2022-05-20,56.625964507092114,1.7019946801799342,4.67204081272795
2022-05-21,56.456939397366,0.8046985073363283,-3.261637904702326
2022-05-22,56.1085630252306,-5.324628940376506,-3.7839340848540957
2022-05-23,55.92408755779669,-1.3764879970854869,11.452400439288802
2022-05-24,56.0494366735696,1.5367194479288175,5.413843878501581
2022-05-25,56.11232522608824,1.6585473197110077,-2.770872545799243
2022-05-26,55.8195861344495,0.8595165919321983,-2.6791027263817
2022-05-27,55.38951404450614,1.8821885653804484,-4.271702609886589
2022-05-28,54.98041936733199,1.3095728025348992,5.710007830133108
2022-05-29,54.62724011727322,-5.660136766174497,10.032896648901286
2022-05-30,54.382720506213005,-1.7812057990617238,-11.601514707151281
2022-05-31,54.1296644717435,0.8687519716161464,-5.998416443359652
2022-06-01,53.62695485996561,2.0778250068742996,3.295220133160093
2022-06-02,52.86747476019569,1.6165026949101156,6.5160225448941915
2022-06-03,52.16589417288456,2.3287549313787723,-1.4946491042633383
2022-06-04,51.857362246861264,0.8459462667750581,-0.7033085136363226
2022-06-05,51.83698617553809,-5.365937358607683,-0.4710488169304057
2022-06-06,51.74628999256476,-2.1872309035479875,-4.5590590890167775
2022-06-07,51.53535145395343,0.8391461966642009,-4.374497650617634
2022-06-08,51.57274149866024,0.9748675728171756,3.4523909285225827
2022-06-09,51.972606682355554,2.1038527913041,0.9235405263403464
2022-06-10,52.381196129187316,3.3888404427730636,3.2299634280396177
2022-06-11,52.53763197310963,-1.1294296310539058,-0.4082023420557306
2022-06-12,52.39347677518874,-4.692027428158889,-8.70144934702985
2022-06-13,51.98732624253153,-0.05766848366955657,8.070342241138029
2022-06-14,51.48446906748355,1.676405004714257,7.839125927802193
