specialty,resolution,model,block,MAPE,MAE,RMSE,R2,n_train,n_val
Medicine,daily,ann,val,19.5336762081239,0.1317040599663342,0.16372202401428168,-0.9930208301735106,848,184
Medicine,daily,lstm,val,14.278030516621278,0.09869595962096245,0.12034155058373372,-0.07678459539891258,848,184
Medicine,daily,hybrid_sarimax_xgb,val,218.75499586849435,1.5923754092453344,1.8537445259611585,-254.50381611940026,848,184
Medicine,daily,hybrid_sarimax_lstm,val,216.34783532897978,1.5731831511097116,1.8406321946095572,-250.90202334739962,848,184
Medicine,daily,hybrid_lstm_xgb,val,14.893675079516514,0.10290829803173267,0.1256710846287635,-0.17427105123398,848,184
Medicine,daily,hybrid_stl_xgb,val,16.19622620909673,0.1168198085807436,0.1411489630357451,-0.48133407042567544,848,184
Medicine,daily,hybrid_stl_ann,val,16.324650533748205,0.1172485470523612,0.14050376961380742,-0.46782263381941624,848,184
Medicine,daily,hybrid_stl_lstm,val,16.52346230393603,0.12354861217082157,0.147242845214659,-0.6120036823003181,848,184
Orthopaedics,daily,ann,val,168.28825760182949,0.09269913153228797,0.10954129621963363,-0.3278703386510098,848,184
Orthopaedics,daily,lstm,val,164.12018962246594,0.09155240477015782,0.10860757782190703,-0.3053295653914816,848,184
Orthopaedics,daily,hybrid_sarimax_xgb,val,105.6887662643905,0.0868424138540079,0.10432355560789658,-0.2043831739969264,848,184
Orthopaedics,daily,hybrid_sarimax_lstm,val,101.45782334556527,0.0843915588311117,0.10205540793128634,-0.15258234939955995,848,184
Orthopaedics,daily,hybrid_lstm_xgb,val,153.5588143163959,0.08871459806926188,0.10623757666606445,-0.2489821448739069,848,184
Orthopaedics,daily,hybrid_stl_xgb,val,228.629014042904,0.12885811075521653,0.16022858125070072,-1.841056646521399,848,184
Orthopaedics,daily,hybrid_stl_ann,val,239.07710716305547,0.13506718934159959,0.16673022072243843,-2.07629917314879,848,184
Orthopaedics,daily,hybrid_stl_lstm,val,228.92409142031875,0.12720489129554446,0.15907121127549131,-1.8001615943584044,848,184
Surgery,daily,ann,val,73.04561661318894,0.03733783735431364,0.04885912524631211,-0.023620032145101888,848,184
Surgery,daily,lstm,val,58.033738610289596,0.032701778975973726,0.05097978932993672,-0.11440608484056614,848,184
Surgery,daily,hybrid_sarimax_xgb,val,187.53304808915664,0.06041234675090572,0.07684646800283025,-1.5321837916913186,848,184
Surgery,daily,hybrid_sarimax_lstm,val,168.34102993092336,0.05446024690248809,0.07089339911097128,-1.1550581915067633,848,184
Surgery,daily,hybrid_lstm_xgb,val,62.447287443132396,0.033825821830184545,0.05088902966683654,-0.1104416475898542,848,184
Surgery,daily,hybrid_stl_xgb,val,83.0043899733483,0.033910256356141796,0.05591206198014185,-0.3404740767383696,848,184
Surgery,daily,hybrid_stl_ann,val,67.40475770938711,0.03308214826656547,0.05346976350465476,-0.2259250753928601,848,184
Surgery,daily,hybrid_stl_lstm,val,85.2997118123174,0.03336194646312272,0.056376855018624834,-0.3628532433573455,848,184
Paediatrics,daily,ann,val,54.55706271125624,0.021664746711378118,0.026548962004899448,0.010449327374636552,848,184
Paediatrics,daily,lstm,val,49.92864487767564,0.02206426987287084,0.02763346749647222,-0.07204672678665691,848,184
Paediatrics,daily,hybrid_sarimax_xgb,val,259.27841990462355,0.08001505308201624,0.09106388508668307,-10.642206441958079,848,184
Paediatrics,daily,hybrid_sarimax_lstm,val,245.26154043327176,0.0764875820504568,0.08829922481812322,-9.946032372456788,848,184
Paediatrics,daily,hybrid_lstm_xgb,val,51.45769852805514,0.023056398243179316,0.02908561519451571,-0.18768003095552843,848,184
Paediatrics,daily,hybrid_stl_xgb,val,90.752986210454,0.031856455379771234,0.04097644129199654,-1.3572813644544737,848,184
Paediatrics,daily,hybrid_stl_ann,val,92.72961817416977,0.03182445237178511,0.041038865112186414,-1.3644690356375317,848,184
Paediatrics,daily,hybrid_stl_lstm,val,92.91503652605904,0.03189132407255967,0.04139091313095766,-1.405209782143491,848,184
Gynaecology,daily,ann,val,41.338096732400885,0.01819809792353519,0.024595635393265414,-0.11348789536798676,848,184
Gynaecology,daily,lstm,val,43.19923379018975,0.018052912897566463,0.023784385368416674,-0.04124582548889566,848,184
Gynaecology,daily,hybrid_sarimax_xgb,val,93.87977916956824,0.03113781693901237,0.039470031548672506,-1.8675061263754653,848,184
Gynaecology,daily,hybrid_sarimax_lstm,val,92.64521643128363,0.03122750435353899,0.03927320731554822,-1.8389787882578963,848,184
Gynaecology,daily,hybrid_lstm_xgb,val,44.43285528787649,0.018808368229458104,0.025119076608146333,-0.16138643257521235,848,184
Gynaecology,daily,hybrid_stl_xgb,val,60.520212637917716,0.022044465330198503,0.028379176411342404,-0.48241220776202476,848,184
Gynaecology,daily,hybrid_stl_ann,val,57.8446819445659,0.021256855996156454,0.027542063660761392,-0.3962473534917783,848,184
Gynaecology,daily,hybrid_stl_lstm,val,58.05549723638651,0.021516461104628754,0.027771237909286733,-0.41958004316730513,848,184
