model,best_params,cv_RMSE,cv_MAPE,val_MAPE,val_MAE,val_RMSE,val_R2,test_MAPE,test_MAE,test_RMSE,test_R2
XGBoost,"{'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.01, 'subsample': 1.0}",8.521521543931124,10.391243360184271,12.221484661715442,7.261376712633216,9.475760807678952,0.08628635530602535,13.00836318458419,8.57582328295467,10.67240356720495,0.2013653976676062
ANN,"{'hidden_layers': 1, 'units': 64, 'dropout': 0.1, 'learning_rate': 0.0006053383222993595, 'batch_size': 32}",6.728229076013932,9.764049728125835,12.033209432172074,7.193567669909934,9.496588252747618,0.08226530936065457,14.730979770740083,10.298436463481249,12.80462189475538,-0.14962754735535544
LSTM,"{'lookback': 14, 'units': 64, 'dropout': 0.1, 'learning_rate': 0.0006053383222993595, 'batch_size': 64}",8.408008046704731,11.712689191314805,12.747970210128587,7.505260850940535,9.97963239126751,-0.013470284126446685,14.926772555041486,9.894255119149381,12.315815035084421,-0.06353052630599265
