model,family,block,MAPE,MAE,RMSE,R2
naive_yest,naive,test,16.750462111084836,11.073232323232324,14.124893849605606,-0.3989237057659309
naive_seasonal,naive,test,17.52690018779173,11.287878787878787,14.205917105490965,-0.4150187561860359
dow_mean,naive,test,17.761130480644624,12.638685983713756,15.03732818717753,-0.5854954523544735
dow_mean,naive,val,12.273827773948964,7.289221763085399,9.39896723840707,0.1010362013687752
sarimax,classical,val,12.52471351269471,7.175508610368938,9.122631126844166,0.1531194465204206
nbglm,parametric_glm,val,12.646961884196587,7.764335267039516,9.79283944585712,0.0241137477065664
arima,classical,val,13.325752833138846,7.797082393278916,10.196863436842015,-0.0580717945101545
naive_seasonal,naive,val,16.382945126262747,9.679347826086955,12.225463448137218,-0.5209417954335533
naive_yest,naive,val,16.96460696871895,10.08695652173913,13.4463507252372,-0.8398855187259899
