model,val_MAPE,val_MAE,test_MAPE,test_MAE
dow_mean,12.273827773948964,7.289221763085399,17.761130480644624,12.638685983713756
sarimax,12.52471351269471,7.175508610368938,,
nbglm,12.646961884196587,7.764335267039516,,
arima,13.325752833138846,7.797082393278916,,
naive_seasonal,16.382945126262747,9.679347826086955,17.52690018779173,11.287878787878787
naive_yest,16.96460696871895,10.08695652173913,16.750462111084836,11.073232323232324
