trial,alpha,beta,gamma,total_cost_mean,holding_mean,ordering_mean,stockout_mean,expiry_mean,stockout_incidence_pct_mean,n_orders_mean,n_stockout_events_mean,total_cost_std,holding_std,ordering_std,stockout_std,expiry_std,stockout_incidence_pct_std,n_orders_std,n_stockout_events_std
0,0.7193456349269229,1.0021199526937343,2.453270956320602,701476.9887562643,97261.0080668657,18456.25,585759.7306893985,0.0,49.7790404040404,34.625,273.875,426127.26851790876,5307.2878996787995,663.0220315236246,431250.1959881249,0.0,23.868431571176497,1.1877349391654208,147.53540737250643
1,0.5888990216481292,1.1147927614563087,2.47510098847534,726794.1254487257,100708.51504841872,18625.0,607460.610400307,0.0,53.06186868686869,35.0,294.75,316681.8619824184,4173.455859114213,404.4396476254876,320262.1096314413,0.0,22.011097603869146,0.7559289460184544,146.3662236602811
2,0.6981410890189181,1.849915809136967,1.6165002297317166,398709.0187664115,96704.99178570378,23275.0,278729.0269807078,0.0,40.56186868686869,43.5,217.625,141314.2564850705,4717.644152140957,706.0959060718512,144804.08802622877,0.0,15.53796342004644,1.3093073414159542,103.9229625388785
3,1.2832294684757612,0.8142102023532338,1.2946019869724685,754359.4556967638,65547.45589518416,23968.75,664843.2498015796,0.0,58.99621212121212,44.875,353.375,312145.7167161239,3465.2828003839095,869.2926106076957,314818.6868106884,0.0,15.375294008584792,1.5526475085202969,122.63876979627143
4,0.7959673146904229,1.8199503837246498,0.5963502054257053,349058.86301649525,68140.64459566172,46812.5,234105.71842083352,0.0,37.910353535353536,85.75,193.125,139070.54831427912,2722.835324401933,1751.886738021937,143149.9004366164,0.0,18.03059481132213,3.058944729337694,119.38585403161106
5,0.9450676427635855,1.2552196116440892,1.2274292605313242,420761.53656728053,74048.01157989497,26268.75,320444.77498738555,0.0,48.80050505050505,48.875,259.5,170281.94862249543,3581.396043400299,782.3670585381994,173977.96224840204,0.0,21.91749200422447,1.246423454758225,131.69336679249588
6,1.1944930799492877,1.869725739474152,0.5611861350844347,330982.63404155476,69789.79310596647,50362.5,210830.3409355883,0.0,37.46843434343434,92.25,185.75,117164.35517123039,3684.134284668292,1716.0482011212355,121215.77463911178,0.0,23.56981538129153,2.866057521105554,126.16287658646434
7,0.6214054385899884,0.6942408288061717,1.7857938995503426,649128.9952633905,73496.89271568871,20875.0,554757.1025477017,0.0,61.773989898989896,39.0,371.625,285991.0642745219,2599.422156327587,773.2122236858021,287515.58711713343,0.0,14.765363971954997,1.3093073414159542,89.2443475601036
8,0.7359336007729133,1.943671808186526,0.798334266146705,318254.1452601524,76276.4744728399,39168.75,202808.9207873125,0.0,34.5959595959596,71.875,167.0,110170.57956699384,2719.4091275489163,1582.2537045980603,112236.34509294626,0.0,21.930477009288076,2.948970764763288,109.9688267516884
9,0.546896439497494,1.0997669492418518,1.8651549663458489,639764.7534193282,82978.21098428027,20331.25,536455.2924350479,0.0,52.43055555555556,38.125,322.375,360778.9413447285,4380.31768749861,763.8892496391644,364973.82532143616,0.0,25.050031379348507,1.3562026818605375,209.157450944771
