method,holding_mean,ordering_mean,stockout_mean,expiry_mean,total_cost_mean
Baseline,60422.132395582405,28762.5,607033.7183980052,0.0,696218.3507935875
Forecast-driven,59052.64969064031,29068.75,713723.408413758,0.0,801844.8081043984
Grid Search,70049.12683477846,57637.5,183404.80051670037,0.0,311091.42735147884
Random Search,124550.18146030049,19206.25,205984.52377103307,0.0,349740.95523133356
Bayesian (Optuna),76950.82129059771,41043.75,194524.8466411846,0.0,312519.4179317823
Forecast + Optuna,76198.84564751148,42993.75,213674.322525102,0.0,332866.91817261354
