trial,alpha,beta,gamma,total_cost_mean,holding_mean,ordering_mean,stockout_mean,expiry_mean,stockout_incidence_pct_mean,n_orders_mean,n_stockout_events_mean,total_cost_std,holding_std,ordering_std,stockout_std,expiry_std,stockout_incidence_pct_std,n_orders_std,n_stockout_events_std
0,0.6789348136754362,1.3878523817157629,1.4345368022869702,399103.1555286464,80277.46130749048,23843.75,294981.94422115595,0.0,47.821969696969695,44.375,260.75,98344.28714213701,3241.132514302225,361.9762225813813,100614.96510233327,0.0,23.65546393288908,0.7440238091428449,157.45452858342492
1,0.870500527108048,0.903359468326407,2.08103649170653,565993.3850149852,87039.52031499286,19456.25,459497.6146999923,0.0,51.388888888888886,36.625,278.625,201678.92768696338,3384.1813543224494,327.8038394266564,204979.08809650553,0.0,21.052619592289226,0.7440238091428449,117.73570583544921
2,1.405143836677174,0.6015004260991828,1.805569605370264,675837.0183612511,76316.72057998393,20768.75,578751.5477812672,0.0,64.48863636363636,38.875,409.75,287138.68733710947,3761.5593803161946,1005.320666681603,291066.2690988948,0.0,9.74661255336415,1.807721533549109,111.56388304464846
3,0.7983027673555693,1.943835740276064,2.3397003210745564,349740.95523133356,124550.18146030049,19206.25,205984.52377103307,0.0,36.994949494949495,36.125,187.125,116951.95948614385,5199.388273973602,515.0849444509129,120363.00291674069,0.0,21.38790287196412,0.9910312089651149,112.00183353091018
4,1.1358708041446515,1.5796445650344473,1.5303073926447035,383297.3509935618,91194.91508655465,23237.5,268864.93590700714,0.0,38.19444444444444,43.25,193.875,213777.9651639009,3390.10860460789,504.0904113917888,217139.5851579409,0.0,22.512108803483766,1.0350983390135313,131.7252958676828
5,1.3258952583755699,1.0622469271801753,1.1776249066275237,455950.486171586,70020.54458083364,26287.5,359642.44159075234,0.0,51.04166666666667,49.25,276.625,170987.83626872287,2780.1588053381483,992.7415143357883,174448.66020728135,0.0,13.581766000892673,1.6690459207925603,109.90377284567754
6,0.7778992155001591,0.6847661966337858,1.5516336866904967,856159.7875228813,66724.12314715546,21537.5,767898.1643757259,0.0,61.58459595959596,40.25,428.125,362525.7207172478,3404.3852293276027,593.8674695827103,365740.2339429517,0.0,13.488886055077533,1.0350983390135313,200.49470067809773
7,0.9309120606844314,1.4274070548034121,0.5256809647336131,403593.21884983673,58157.36879428241,50750.0,294685.85005555436,0.0,44.41287878787878,93.0,248.375,177032.792472344,1968.7293743504956,1405.0927778213488,179308.12795213304,0.0,26.069901939225772,2.138089935299395,152.4260359274997
8,0.9477019015387208,0.9208073619250654,0.8907951997431081,738618.4912928853,55307.460729657534,30193.75,653117.2805632278,0.0,69.00252525252526,55.875,467.625,164380.53856649157,2151.3237703931914,348.91413188429533,165501.40123249273,0.0,9.431017687710739,0.8345229603962802,74.80438776282732
9,1.0948658710060528,1.0400323651160956,1.0999830074902996,637665.5728495152,64607.72573359011,27425.0,545632.847115925,0.0,53.724747474747474,51.0,323.75,398797.03585384466,3051.441945722932,892.8285709714139,402061.0696395723,0.0,22.562635200228005,1.6035674514745464,180.01964178547692
10,0.7094161212362196,1.7868608972267053,2.0949246310428653,385979.2673855574,110827.34656492174,20131.25,255020.67082063569,0.0,35.006313131313135,38.125,176.75,198743.63743604178,3792.5919037239196,519.5722828855069,201590.74060785468,0.0,22.697165202915308,0.9910312089651149,131.80044439552222
11,1.106709676684979,0.8866709837343967,2.393639581959297,503663.34679150814,98122.23484099063,18618.75,386922.36195051763,0.0,53.40909090909091,34.875,278.5,259998.71293977762,3620.894063034149,646.9364618834571,262627.19094145455,0.0,19.521361707159283,1.246423454758225,107.38715006927039
12,1.0633773745025454,1.0356966573539184,2.300899198008444,558830.8254268405,98793.53576111239,18700.0,441337.2896657281,0.0,49.621212121212125,35.0,272.5,248818.39491589682,2500.0812677597232,657.9187965525402,249818.24582526824,0.0,24.889892644814527,1.3093073414159542,156.23151319207568
13,0.8193418039018624,1.4831912792274318,1.1276406545247402,459015.97563804605,73952.24936053867,27656.25,357407.4762775074,0.0,50.47348484848485,51.625,294.75,206319.5827359705,1498.2739622736412,780.7677082754603,207470.15603728846,0.0,16.96915878819175,1.3024701806293193,147.68475112307877
14,0.7615530463118,1.4914295121514543,0.9557839578147154,408739.25984613586,69905.67776949223,31625.0,307208.58207664365,0.0,45.9280303030303,58.5,233.75,138352.40463429503,2576.0637677331483,846.4210367356021,140209.4707223919,0.0,20.53585885468463,1.4142135623730951,127.8266124762088
15,0.9931103229848808,1.2860483701349454,0.8778127295089169,491713.9534270107,64814.55294290082,33156.25,393743.1504841099,0.0,51.262626262626256,61.125,279.125,227109.15969796487,3319.920452432066,968.2227828051027,230228.95765953878,0.0,17.907176978341784,2.03100960115899,108.16051233500805
