fold,origin,MAPE,MAE,RMSE,R2
0,2023-03-05,13.783962911348807,10.262737819126674,14.107671493761961,-2.0099670845121262
8,2023-04-30,13.62060886600695,9.21725845336914,11.379773983565993,-1.4845197885415922
15,2023-06-18,20.611000155147924,10.056271144321986,13.03091238109007,-0.585447636566059
23,2023-08-13,10.177793574081049,6.611121041434152,11.002634190706486,-0.2352852972908508
30,2023-10-01,7.192587471336321,4.4918687002999445,5.320268762731999,-3.177583511076481
38,2023-11-26,11.503293893132895,5.715100424630301,7.392295850569663,-0.624791176683934
45,2024-01-14,26.41246667455746,11.539785657610212,14.522125263531535,-1.307662792835047
53,2024-03-10,9.469267599729646,5.626311710902622,6.964180401070649,-0.3752839260845897
60,2024-04-28,12.432206320094917,7.189544132777622,8.07536739501044,-2.813086359970748
68,2024-06-23,10.168472950379416,5.581271035330636,7.564239211616178,0.025150198999640105
AVG,,13.537166041581537,7.629127011980328,9.935946893365498,-1.2588477374561788
