fold,origin,MAPE,MAE,RMSE,R2
0,2023-03-05,8.282678859236622,5.963412693568638,8.659550392930926,-0.13407494980796253
17,2023-07-02,10.090527105021836,5.019466400146484,5.990852494933726,-0.5508160204467627
34,2023-10-29,10.683164684330764,6.234518323625837,6.528059182376908,-1.9245970276500812
51,2024-02-25,11.30239940318948,7.540493556431362,10.087814481811849,-0.4796546142294331
68,2024-06-23,10.265205008322374,5.627016339983259,6.459032974876503,0.28920853909716315
AVG,,10.124795012020217,6.0769814627511165,7.545061905385983,-0.5599868146074153
