fold,origin,MAPE,MAE,RMSE,R2
0,2023-03-05,6.9584793549486434,4.739162183526645,5.3569878782655405,0.5659973341770639
17,2023-07-02,14.118804981270197,7.221557733706706,8.730812763423575,-2.2937632133933334
34,2023-10-29,15.604047209609572,9.401882166522395,12.791705779881633,-10.229354483464709
51,2024-02-25,16.74447403689712,10.840842849072114,12.943589230481013,-1.4359906843334658
68,2024-06-23,10.245255269268574,5.451260995471435,7.006322754521637,0.1636511236140975
AVG,,12.734212170398822,7.53094118565986,9.36588368131468,-2.645891984680069
