date,actual,predicted,abs_error,pct_error
2024-07-01,79.0,60.72347538504856,18.27652461495144,23.13484128474866
2024-07-02,72.0,58.172352650457256,13.827647349542744,19.205065763253813
2024-07-03,62.0,59.10243791879237,2.8975620812076315,4.6734872277542445
2024-07-04,42.0,57.703639797905026,15.703639797905026,37.38961856644054
2024-07-05,59.0,59.32466718603191,0.3246671860319097,0.5502833661557791
2024-07-06,55.0,55.961794434378575,0.9617944343785751,1.7487171534155914
2024-07-07,42.0,53.64262199851848,11.642621998518479,27.720528567901138
2024-07-08,59.0,72.22302649519739,13.223026495197388,22.411909313893876
2024-07-09,62.0,72.98876910876118,10.988769108761176,17.72382114316319
2024-07-10,51.0,59.943378412385876,8.943378412385876,17.536036102717404
2024-07-11,71.0,48.334062332878375,22.665937667121625,31.923855869185385
2024-07-12,58.0,69.42278543542756,11.422785435427556,19.69445764728889
2024-07-13,67.0,50.19135173530415,16.808648264695847,25.087534723426636
2024-07-14,53.0,49.82069409158306,3.179305908416943,5.998690393239515
2024-07-15,69.0,67.87786234024249,1.122137659757513,1.6262864634166856
2024-07-16,48.0,66.70284887698958,18.702848876989577,38.96426849372829
2024-07-17,59.0,59.724205431483384,0.7242054314833837,1.2274668330226841
2024-07-18,67.0,75.25739906004281,8.257399060042815,12.324476209019126
2024-07-19,71.0,63.079390376883204,7.920609623116796,11.155788201572953
2024-07-20,65.0,61.27598983472778,3.724010165272219,5.729246408111106
2024-07-21,60.0,52.24700400665523,7.7529959933447685,12.921659988907946
2024-07-22,68.0,68.14142775625642,0.14142775625641946,0.20798199449473448
2024-07-23,69.0,58.52788034273772,10.472119657262283,15.17698501052505
2024-07-24,50.0,60.42956107451228,10.429561074512279,20.859122149024557
2024-07-25,49.0,70.94523656411879,21.945236564118787,44.78619706963018
2024-07-26,55.0,67.85244183156043,12.852441831560427,23.368076057382595
2024-07-27,57.0,61.33427982635207,4.334279826352073,7.603999695354514
2024-07-28,62.0,56.790143836870534,5.209856163129466,8.402993811499138
2024-07-29,61.0,56.80474257495763,4.195257425042371,6.8774711885940505
2024-07-30,62.0,57.95506789955723,4.044932100442772,6.524084032972212
2024-07-31,47.0,49.26232318683968,2.26232318683968,4.813453589020596
2024-08-01,50.0,51.594543473712214,1.5945434737122142,3.1890869474244283
2024-08-02,53.0,55.531512775047744,2.5315127750477444,4.776439198203292
2024-08-03,70.0,58.10433596540768,11.895664034592322,16.993805763703318
2024-08-04,54.0,55.096925391993686,1.096925391993686,2.0313433185068264
2024-08-05,95.0,55.639665465826106,39.360334534173894,41.4319310886041
2024-08-06,61.0,64.75371324509601,3.7537132450960087,6.153628270649195
2024-08-07,59.0,47.748122311692455,11.251877688307545,19.070979132724652
2024-08-08,60.0,51.09539095142132,8.904609048578678,14.841015080964462
2024-08-09,60.0,49.971294617031965,10.028705382968035,16.71450897161339
2024-08-10,61.0,61.25573610785068,0.2557361078506801,0.4192395210666887
2024-08-11,56.0,55.826848178311344,0.17315182168865562,0.30919968158688504
2024-08-12,69.0,66.35875022105664,2.6412497789433615,3.8278982303526976
2024-08-13,59.0,59.62890540136206,0.6289054013620614,1.0659413582407822
2024-08-14,62.0,58.70291592835637,3.2970840716436314,5.317877534909083
2024-08-15,66.0,54.040285604132336,11.959714395867664,18.12077938767828
2024-08-16,61.0,60.01821341049874,0.9817865895012616,1.6094862122971503
2024-08-17,47.0,63.18542594572711,16.18542594572711,34.43707648027045
2024-08-18,44.0,58.894454156003405,14.894454156003405,33.85103217273501
2024-08-19,74.0,64.25500440418193,9.744995595818068,13.168912967321713
2024-08-20,64.0,57.639496832917004,6.360503167082996,9.93828619856718
2024-08-21,63.0,58.66719987369853,4.332800126301471,6.877460517938844
