fold,origin,MAPE,MAE,RMSE,R2
0,2023-03-05,15.656626116630568,11.182741763440271,14.530684557140388,-2.193178670140985
8,2023-04-30,19.865550329973075,13.4034110055125,16.585488599807146,-4.27754235419824
15,2023-06-18,14.720406262885621,7.625897277822235,11.536500390200537,-0.24265457724881068
23,2023-08-13,17.876014370440636,10.960900639177586,15.660162692652527,-1.5024560771463884
30,2023-10-01,6.840072784136354,4.28707370845489,5.70832319048676,-3.8092250864620416
38,2023-11-26,26.071219895345255,13.12895051282975,17.087517841978368,-7.6815412827648775
45,2024-01-14,28.27745995925023,12.949703967904659,15.373463089667363,-1.5861601163686627
53,2024-03-10,14.779691260924327,8.452694038207857,10.186272269335605,-1.9422725662654763
60,2024-04-28,21.254851167602734,12.201655542283586,14.608913395454174,-11.479232910737638
68,2024-06-23,11.368418447694648,6.052004285428202,7.723503508175757,-0.016332689707704517
AVG,,17.671031059488346,10.024503274106154,12.900082953489862,-3.473059633104082
