fold,origin,MAPE,MAE,RMSE,R2
0,2023-03-05,10.233790055878071,7.2591566318091045,8.912848772269536,-0.20139036686110567
8,2023-04-30,15.424737394572743,10.312617090910269,12.85362001941155,-2.169757961067914
15,2023-06-18,16.412462596227837,7.835056088460806,9.519491411956382,0.15388431395326696
23,2023-08-13,14.573669800169316,8.364604106020101,10.138795351206852,-0.04893031809850701
30,2023-10-01,5.198455107407152,3.2061573522377835,3.539816991091817,-0.8493521451526924
38,2023-11-26,16.855072337074954,8.777432840736234,10.24895454010489,-2.123187129303213
45,2024-01-14,12.628397112538007,5.835625446530234,7.210894133117481,0.43102887097981757
53,2024-03-10,9.187833867713602,5.2078091863233675,6.4102847610217975,-0.16521746825927464
60,2024-04-28,14.360631172706832,8.075171749462886,9.51195051103459,-4.290433083167289
68,2024-06-23,8.517926229126394,4.733776472408785,5.475774337323682,0.48914425414765716
AVG,,12.339297567341491,6.9607406964899585,8.382243082853858,-0.8774211032829253
