period,actual,predicted,abs_error,pct_error
2024-07-07,411.0,399.76303482055664,11.23696517944336,2.734054788185732
2024-07-14,421.0,414.5691795349121,6.430820465087891,1.5275107993082875
2024-07-21,439.0,406.2312240600586,32.768775939941406,7.464413653745194
2024-07-28,410.0,406.928279876709,3.0717201232910156,0.7492000300709795
2024-08-04,397.0,404.60828399658203,7.608283996582031,1.9164443316327533
2024-08-11,452.0,427.10554122924805,24.894458770751953,5.507623621847777
2024-08-18,408.0,423.1482162475586,15.148216247558594,3.712798099891812
2024-08-25,420.0,408.0257110595703,11.974288940429688,2.8510211762927824
2024-09-01,394.0,399.9679183959961,5.967918395996094,1.5147001005066227
2024-09-08,445.0,415.9924736022949,29.007526397705078,6.518545257911254
2024-09-15,477.0,409.2727737426758,67.72722625732422,14.198579928160212
2024-09-22,410.0,417.918155670166,7.918155670166016,1.9312574805282965
2024-09-29,433.0,403.59284591674805,29.407154083251953,6.791490550404608
2024-10-06,410.0,431.08009338378906,21.080093383789062,5.141486191168064
2024-10-13,423.0,429.50393295288086,6.503932952880859,1.537572802099494
2024-10-20,415.0,411.2865180969238,3.713481903076172,0.8948149164038969
2024-10-27,463.0,435.72526931762695,27.274730682373047,5.8908705577479585
2024-11-03,444.0,416.6430015563965,27.356998443603516,6.161486135946738
2024-11-10,422.0,411.3697929382324,10.630207061767578,2.5190064127411325
2024-11-17,436.0,441.25727462768555,5.257274627685547,1.2057969329554008
2024-11-24,445.0,424.46887969970703,20.53112030029297,4.61373489894224
2024-12-01,437.0,418.79473876953125,18.20526123046875,4.165963668299485
2024-12-08,418.0,444.96889877319336,26.96889877319336,6.451889658658698
2024-12-15,455.0,432.4683303833008,22.53166961669922,4.952015300373454
2024-12-22,396.0,423.0716972351074,27.071697235107422,6.836287180582683
2024-12-29,338.0,379.9677200317383,41.96772003173828,12.416485216490617
2025-01-05,122.0,139.48118591308594,17.481185913085938,14.328840912365523
AVG,412.6296296296296,406.56336932712134,19.61984380086263,4.982736689009693
