period,actual,predicted,abs_error,pct_error
2024-07-07,411.0,383.55820935804775,27.441790641952252,6.676834706071108
2024-07-14,421.0,407.9741327862364,13.025867213763604,3.0940302170459866
2024-07-21,439.0,441.41561236237726,2.41561236237726,0.5502533855073486
2024-07-28,410.0,445.79469444727295,35.794694447272946,8.73041327982267
2024-08-04,397.0,386.55237939849644,10.447620601503559,2.631642468892584
2024-08-11,452.0,385.6932492741224,66.30675072587758,14.669635116344597
2024-08-18,408.0,415.6812822458682,7.6812822458682035,1.8826672171245598
2024-08-25,420.0,390.0858338505861,29.914166149413916,7.122420511765218
2024-09-01,394.0,417.0736512010369,23.07365120103691,5.856256650009368
2024-09-08,445.0,390.3654820540655,54.634517945934476,12.277419763131343
2024-09-15,477.0,458.6084846964921,18.3915153035079,3.8556635856410697
2024-09-22,410.0,481.3989300646736,71.3989300646736,17.414373186505756
2024-09-29,433.0,364.10548971281264,68.89451028718736,15.91097235269916
2024-10-06,410.0,486.3757319438411,76.37573194384112,18.628227303375883
2024-10-13,423.0,372.491969089553,50.50803091044702,11.940432839349176
2024-10-20,415.0,442.48882079796317,27.48882079796317,6.623812240473054
2024-10-27,463.0,409.13540561307417,53.86459438692583,11.633821681841432
2024-11-03,444.0,462.24951246483784,18.249512464837835,4.110250555143657
2024-11-10,422.0,433.97070201753405,11.970702017534052,2.8366592458611497
2024-11-17,436.0,358.3372613146104,77.66273868538963,17.81255474435542
2024-11-24,445.0,453.43039150810273,8.43039150810273,1.894470001820838
2024-12-01,437.0,434.4467729290607,2.553227070939272,0.584262487629124
2024-12-08,418.0,453.9755212058157,35.97552120581571,8.606584020530073
2024-12-15,455.0,423.26876569718263,31.73123430281737,6.97389764897085
2024-12-22,396.0,437.1377629187729,41.13776291877292,10.388323969387102
2024-12-29,338.0,400.573170281971,62.57317028197099,18.51277227277248
2025-01-05,122.0,132.60590958897205,10.605909588972054,8.693368515550864
AVG,412.6296296296296,409.9553751416067,34.76104656572961,8.515259998800811
