period,actual,predicted,abs_error,pct_error
2024-07-07,411.0,405.2113619217458,5.788638078254223,1.4084277562662344
2024-07-14,421.0,398.6665487351555,22.333451264844484,5.304857782623393
2024-07-21,439.0,410.2316917656472,28.768308234352787,6.55314538367945
2024-07-28,410.0,426.1729997899486,16.17299978994862,3.944634095109419
2024-08-04,397.0,417.23766635009315,20.23766635009315,5.097648954683414
2024-08-11,452.0,406.2770082399992,45.72299176000081,10.1157061415931
2024-08-18,408.0,423.5064021907676,15.506402190767574,3.8005887722469547
2024-08-25,420.0,408.2565683174922,11.743431682507776,2.7960551625018515
2024-09-01,394.0,411.4296137847107,17.429613784710682,4.423759843835199
2024-09-08,445.0,398.5059088577008,46.494091142299226,10.448110369056005
2024-09-15,477.0,419.86909300558295,57.130906994417046,11.977129348934392
2024-09-22,410.0,447.2686166125441,37.26861661254412,9.08990649086442
2024-09-29,433.0,418.6686058496273,14.331394150372716,3.309790796852821
2024-10-06,410.0,433.6632510765257,23.663251076525682,5.771524652811142
2024-10-13,423.0,416.5933784762398,6.40662152376018,1.5145677361135177
2024-10-20,415.0,420.88321915993504,5.883219159935038,1.4176431710686839
2024-10-27,463.0,419.793169729214,43.206830270785986,9.331928784187038
2024-11-03,444.0,444.11470949869437,0.11470949869436708,0.0258354726789115
2024-11-10,422.0,442.3830167493074,20.383016749307387,4.830098755760044
2024-11-17,436.0,425.5714460451543,10.428553954845711,2.39187017312975
2024-11-24,445.0,422.1866469983102,22.81335300168979,5.126596180155009
2024-12-01,437.0,430.8670280351636,6.132971964836372,1.4034260789099249
2024-12-08,418.0,430.6474372940962,12.647437294096221,3.025702701936895
2024-12-15,455.0,423.62866367450556,31.37133632549444,6.894799192416361
2024-12-22,396.0,433.8159664316769,37.815966431676884,9.549486472645679
2024-12-29,338.0,413.1965531103435,75.19655311034347,22.247500920219963
2025-01-05,122.0,107.45349164096079,14.546508359039208,11.923367507409187
AVG,412.6296296296296,409.48518753115343,24.056994102079404,6.063855877692175
