fold,origin,MAPE,MAE,RMSE,R2
0,2023-03-05,8.840988787026793,6.4729799543108255,9.619375007774336,-0.39940938316959307
17,2023-07-02,10.518491242767276,5.3434295654296875,5.587864539696394,-0.34919512838256006
34,2023-10-29,7.832412015414316,4.558402470179966,5.1284236628220246,-0.8049520084093149
51,2024-02-25,13.899066094775028,8.737705775669642,10.10757136814031,-0.4854560679941953
68,2024-06-23,11.31317846852602,6.305840083530971,7.335235384882273,0.0832829522149442
AVG,,10.480827321701886,6.283671569824219,7.555693992663068,-0.3911459271481438
