period,actual,predicted,abs_error,pct_error
2024-07-07,411.0,395.63796615600586,15.36203384399414,3.7377211299255815
2024-07-14,421.0,424.53064727783203,3.5306472778320312,0.8386335576798174
2024-07-21,439.0,415.52737045288086,23.47262954711914,5.346840443535112
2024-07-28,410.0,425.5422058105469,15.542205810546875,3.7907819050114333
2024-08-04,397.0,420.0369453430176,23.036945343017578,5.802757013354554
2024-08-11,452.0,429.4131317138672,22.586868286132812,4.997094753569206
2024-08-18,408.0,395.21375274658203,12.786247253417969,3.1338841307396983
2024-08-25,420.0,419.54772567749023,0.4522743225097656,0.10768436250232516
2024-09-01,394.0,412.66077041625977,18.660770416259766,4.736236146258824
2024-09-08,445.0,432.7472610473633,12.252738952636719,2.7534244837385886
2024-09-15,477.0,410.9714050292969,66.02859497070312,13.842472740189335
2024-09-22,410.0,429.29178619384766,19.291786193847656,4.7053137058165015
2024-09-29,433.0,445.6926383972168,12.692638397216797,2.9313252649461425
2024-10-06,410.0,450.1146812438965,40.114681243896484,9.784068596072313
2024-10-13,423.0,418.50944900512695,4.490550994873047,1.0615959798754249
2024-10-20,415.0,404.7473907470703,10.252609252929688,2.470508253717997
2024-10-27,463.0,413.08187103271484,49.918128967285156,10.78145334066634
2024-11-03,444.0,416.5274772644043,27.472522735595703,6.1875051206296625
2024-11-10,422.0,437.2845993041992,15.284599304199219,3.6219429630803837
2024-11-17,436.0,416.55694580078125,19.44305419921875,4.459416100738245
2024-11-24,445.0,460.73180389404297,15.731803894042969,3.5352368301220154
2024-12-01,437.0,416.8329658508301,20.167034149169922,4.61488195633179
2024-12-08,418.0,426.4004211425781,8.400421142578125,2.009670129803379
2024-12-15,455.0,422.94372177124023,32.056278228759766,7.045335874452697
2024-12-22,396.0,412.39359283447266,16.393592834472656,4.139796170321378
2024-12-29,338.0,395.83312606811523,57.833126068115234,17.110392327844746
2025-01-05,122.0,116.32412338256836,5.675876617431641,4.652357883140689
AVG,412.6296296296296,409.8183620594166,21.071505935103804,5.118456709780156
