period,actual,predicted,abs_error,pct_error
2024-07-07,411.0,404.63098937113216,6.369010628867841,1.5496376225955817
2024-07-14,421.0,422.92406761153757,1.9240676115375663,0.4570231856383768
2024-07-21,439.0,446.16469992702446,7.164699927024458,1.632050097272086
2024-07-28,410.0,444.0209712324082,34.020971232408215,8.297797861562978
2024-08-04,397.0,384.34945126751586,12.65054873248414,3.186536204655955
2024-08-11,452.0,386.2907708772299,65.70922912277013,14.53744007140932
2024-08-18,408.0,420.82895066713667,12.828950667136667,3.1443506537099672
2024-08-25,420.0,404.30735239692893,15.692647603071066,3.736344667397873
2024-09-01,394.0,406.84944055130813,12.849440551308135,3.2612793277431815
2024-09-08,445.0,392.4932286957014,52.50677130429858,11.799274450404175
2024-09-15,477.0,455.65007109557047,21.349928904429532,4.475876080593193
2024-09-22,410.0,493.8304487683727,83.83044876837272,20.446450919115296
2024-09-29,433.0,362.73302635238383,70.26697364761617,16.227938486747384
2024-10-06,410.0,468.81226926177277,58.81226926177277,14.344455917505552
2024-10-13,423.0,372.80328745727263,50.19671254272737,11.866835116484012
2024-10-20,415.0,445.5473260350657,30.54732603506568,7.3608014542326945
2024-10-27,463.0,412.94013507474403,50.059864925255965,10.812065858586601
2024-11-03,444.0,487.8264505575464,43.82645055754642,9.870822197645591
2024-11-10,422.0,432.0676283071446,10.067628307144616,2.3856939116456437
2024-11-17,436.0,375.83937863550557,60.16062136449443,13.79830765240698
2024-11-24,445.0,453.8578365919593,8.857836591959312,1.9905250768447895
2024-12-01,437.0,438.4786774923685,1.4786774923684902,0.33837013555343026
2024-12-08,418.0,466.1792577792734,48.17925777927343,11.52613822470656
2024-12-15,455.0,433.23822287649057,21.761777123509432,4.7828081590130616
2024-12-22,396.0,434.5061493662026,38.50614936620258,9.723775092475398
2024-12-29,338.0,378.36022422465135,40.36022422465135,11.94089474102111
2025-01-05,122.0,142.27953288261028,20.279532882610283,16.622567936565805
AVG,412.6296296296296,413.6225868650688,32.602148783552124,8.152446707538244
