fold,origin,MAPE,MAE,RMSE,R2
0,2023-03-05,13.99338247614122,10.30572782244001,14.220930053579355,-2.058490039460194
8,2023-04-30,14.970288567510028,10.19212395804269,12.964548537943278,-2.224704941598149
15,2023-06-18,16.987246578905417,7.834434509277344,10.681000534383617,-0.06518766165389733
23,2023-08-13,14.619122769669787,8.586947849818639,12.905841673075262,-0.6995994825559804
30,2023-10-01,6.121216152886778,3.8783133370535716,4.866142384925883,-2.494842601832036
38,2023-11-26,11.476585626387557,5.655549730573382,7.867150770928913,-0.8402372581151951
45,2024-01-14,22.906748545639,10.154318128313337,12.207282260958346,-0.6306094840859104
53,2024-03-10,9.791615368403292,6.060011727469308,6.994799710242037,-0.387403892554226
60,2024-04-28,12.876158599813865,7.615094866071429,8.430064698986119,-3.1554099649469025
68,2024-06-23,12.885367831380382,7.4112107413155695,7.793323819886735,-0.03479099858104484
AVG,,13.662773251673732,7.769373267037527,9.893108444490954,-1.2591276325383536
